NAME,TEAM,BYE,AGE,POS,POS RANK,ADP
Patrick Mahomes,KC,10,28,QB,QB1,19
Josh Allen,BUF,13,28,QB,QB2,21
Jalen Hurts,PHI,10,25,QB,QB3,24
Lamar Jackson,BAL,13,27,QB,QB4,35
Joe Burrow,CIN,7,27,QB,QB5,41
Justin Herbert,LAC,5,26,QB,QB6,45
Justin Fields,CHI,13,25,QB,QB7,46
Trevor Lawrence,JAX,9,24,QB,QB8,55
Dak Prescott,DAL,7,30,QB,QB9,83
Deshaun Watson,CLE,5,28,QB,QB10,87
Tua Tagovailoa,MIA,10,26,QB,QB11,89
Aaron Rodgers,NYJ,7,40,QB,QB12,103
Daniel Jones,NYG,13,27,QB,QB13,105
Kirk Cousins,MIN,13,35,QB,QB14,106
Geno Smith,SEA,5,33,QB,QB15,113
Anthony Richardson,IND,11,22,QB,QB16,117
Jared Goff,DET,9,29,QB,QB17,132
Russell Wilson,DEN,9,35,QB,QB18,137
Kenny Pickett,PIT,6,26,QB,QB19,158
Derek Carr,NO,11,33,QB,QB20,161
Matthew Stafford,LAR,10,36,QB,QB21,167
Bryce Young,CAR,7,22,QB,QB22,184
Brock Purdy,SF,9,24,QB,QB23,186
Kyler Murray,ARI,14,26,QB,QB24,188
Jordan Love,GB,6,25,QB,QB25,193
Taysom Hill,NO,11,33,QB,QB26,202
Sam Howell,WAS,14,23,QB,QB27,218
C.J. Stroud,HOU,7,22,QB,QB28,225
Jimmy Garoppolo,LV,13,32,QB,QB29,229
Mac Jones,NE,11,25,QB,QB30,243
Ryan Tannehill,TEN,7,35,QB,QB31,252
Baker Mayfield,TB,5,29,QB,QB32,263
Will Levis,TEN,7,25,QB,QB33,284
Desmond Ridder,ATL,11,24,QB,QB34,291
Trey Lance,DAL,7,24,QB,QB35,294
Mike White,MIA,10,29,QB,QB36,302
Andy Dalton,CAR,7,36,QB,QB37,306
Davis Mills,HOU,7,25,QB,QB38,314
Jacoby Brissett,WAS,14,31,QB,QB39,334
Colt McCoy,ARI,14,37,QB,QB40,335
Taylor Heinicke,ATL,11,31,QB,QB41,341
Gardner Minshew II,IND,11,28,QB,QB42,342
Tyler Huntley,BAL,13,26,QB,QB43,345
Sam Darnold,SF,9,27,QB,QB44,355
Kyle Trask,TB,5,26,QB,QB45,363
Kyle Allen,BUF,13,28,QB,QB46,369
Stetson Bennett,LAR,10,26,QB,QB47,370
Marcus Mariota,PHI,10,30,QB,QB48,374
Bailey Zappe,NE,11,25,QB,QB49,380
Zach Wilson,NYJ,7,24,QB,QB50,395
Christian McCaffrey,SF,9,28,RB,RB1,2
Austin Ekeler,LAC,5,29,RB,RB2,4
Bijan Robinson,ATL,11,22,RB,RB3,8
Saquon Barkley,NYG,13,27,RB,RB4,9
Nick Chubb,CLE,5,28,RB,RB5,12
Tony Pollard,DAL,7,27,RB,RB6,15
Derrick Henry,TEN,7,30,RB,RB7,18
Josh Jacobs,LV,13,26,RB,RB8,20
Rhamondre Stevenson,NE,11,26,RB,RB9,26
Najee Harris,PIT,6,26,RB,RB10,27
Travis Etienne Jr.,JAX,9,25,RB,RB11,30
Joe Mixon,CIN,7,27,RB,RB12,32
Jahmyr Gibbs,DET,9,22,RB,RB13,34
Aaron Jones,GB,6,29,RB,RB14,38
Breece Hall,NYJ,7,23,RB,RB15,40
Kenneth Walker III,SEA,5,23,RB,RB16,42
Jonathan Taylor,IND,11,25,RB,RB17,43
Dameon Pierce,HOU,7,24,RB,RB18,47
Miles Sanders,CAR,7,27,RB,RB19,50
J.K. Dobbins,BAL,13,25,RB,RB20,54
Alexander Mattison,MIN,13,26,RB,RB21,56
Cam Akers,LAR,10,25,RB,RB22,59
Rachaad White,TB,5,25,RB,RB23,63
Dalvin Cook,NYJ,7,28,RB,RB24,64
James Conner,ARI,14,29,RB,RB25,67
Alvin Kamara,NO,11,28,RB,RB26,69
Javonte Williams,DEN,9,24,RB,RB27,70
D'Andre Swift,PHI,10,25,RB,RB28,74
James Cook,BUF,13,24,RB,RB29,75
Isiah Pacheco,KC,10,25,RB,RB30,77
David Montgomery,DET,9,27,RB,RB31,80
AJ Dillon,GB,6,26,RB,RB32,86
Khalil Herbert,CHI,13,26,RB,RB33,92
Brian Robinson Jr.,WAS,14,25,RB,RB34,94
Antonio Gibson,WAS,14,26,RB,RB35,95
Jamaal Williams,NO,11,29,RB,RB36,99
Zach Charbonnet,SEA,5,23,RB,RB37,102
Samaje Perine,DEN,9,28,RB,RB38,104
Rashaad Penny,PHI,10,28,RB,RB39,111
Jerick McKinnon,KC,10,32,RB,RB40,115
De'Von Achane,MIA,10,22,RB,RB41,120
Elijah Mitchell,SF,9,26,RB,RB42,121
Damien Harris,BUF,13,27,RB,RB43,122
Ezekiel Elliott,NE,11,28,RB,RB44,127
Jaylen Warren,PIT,6,25,RB,RB45,129
Tyler Allgeier,ATL,11,24,RB,RB46,133
Raheem Mostert,MIA,10,32,RB,RB47,134
Tank Bigsby,JAX,9,22,RB,RB48,140
Devin Singletary,HOU,7,26,RB,RB49,147
Jeff Wilson Jr.,MIA,10,28,RB,RB50,148
Kenneth Gainwell,PHI,10,25,RB,RB51,150
D'Onta Foreman,CHI,13,28,RB,RB52,154
Roschon Johnson,CHI,13,23,RB,RB53,162
Kendre Miller,NO,11,22,RB,RB54,169
Tyjae Spears,TEN,7,23,RB,RB55,177
Cordarrelle Patterson,ATL,11,33,RB,RB56,182
Deuce Vaughn,DAL,7,22,RB,RB57,187
Chuba Hubbard,CAR,7,25,RB,RB58,192
Gus Edwards,BAL,13,29,RB,RB59,196
Zamir White,LV,13,24,RB,RB60,198
Clyde Edwards-Helaire,KC,10,25,RB,RB61,199
Jerome Ford,CLE,5,24,RB,RB62,210
Ty Chandler,MIN,13,26,RB,RB63,216
Joshua Kelley,LAC,5,26,RB,RB64,224
Deon Jackson,IND,11,25,RB,RB65,234
Chase Edmonds,TB,5,28,RB,RB66,244
Zack Moss,IND,11,26,RB,RB67,246
Pierre Strong Jr.,CLE,5,25,RB,RB68,249
Kyren Williams,LAR,10,23,RB,RB69,255
Chase Brown,CIN,7,24,RB,RB70,256
Zach Evans,LAR,10,23,RB,RB71,257
Michael Carter,NYJ,7,25,RB,RB72,264
Evan Hull,IND,11,23,RB,RB73,265
Sean Tucker,TB,5,22,RB,RB74,271
Latavius Murray,BUF,13,34,RB,RB75,279
Isaiah Spiller,LAC,5,22,RB,RB76,282
