NAME,TEAM,BYE,AGE,POS,POS RANK,ADP
DeWayne McBride,MIN,13,23,RB,RB77,283
Matt Breida,NYG,13,29,RB,RB78,286
Malik Davis,DAL,7,25,RB,RB79,290
James Robinson,NYG,13,25,RB,RB80,292
Kyle Juszczyk,SF,9,33,FB,RB81,298
Keaontay Ingram,ARI,14,24,RB,RB82,307
JaMycal Hasty,JAX,9,27,RB,RB83,310
Zonovan Knight,DET,9,23,RB,RB84,311
Rico Dowdle,DAL,7,26,RB,RB85,312
Chris Evans,CIN,7,26,RB,RB86,316
Boston Scott,PHI,10,29,RB,RB87,317
Hassan Haskins,TEN,7,24,RB,RB88,322
Melvin Gordon III,BAL,13,31,RB,RB89,324
Trayveon Williams,CIN,7,26,RB,RB90,325
John Lovett,MIA,10,28,FB,RB91,331
Ronald Jones,DAL,7,26,RB,RB92,332
Darrel Williams,NO,11,29,RB,RB93,343
Israel Abanikanda,NYJ,7,21,RB,RB94,346
Troy Hairston,HOU,7,25,FB,RB95,360
Jordan Mason,SF,9,25,RB,RB96,368
Deneric Prince,KC,10,24,RB,RB97,375
Eric Gray,NYG,13,24,RB,RB98,376
Chris Rodriguez Jr.,WAS,14,23,RB,RB99,377
Michael Burton,DEN,9,32,FB,RB100,379
Justin Jefferson,MIN,13,25,WR,WR1,1
Ja'Marr Chase,CIN,7,24,WR,WR2,3
Tyreek Hill,MIA,10,30,WR,WR3,5
Cooper Kupp,LAR,10,31,WR,WR4,7
Stefon Diggs,BUF,13,30,WR,WR5,10
CeeDee Lamb,DAL,7,25,WR,WR6,11
A.J. Brown,PHI,10,27,WR,WR7,13
Davante Adams,LV,13,31,WR,WR8,14
Amon-Ra St. Brown,DET,9,24,WR,WR9,16
Garrett Wilson,NYJ,7,23,WR,WR10,17
Jaylen Waddle,MIA,10,25,WR,WR11,22
Chris Olave,NO,11,24,WR,WR12,23
DeVonta Smith,PHI,10,25,WR,WR13,25
Tee Higgins,CIN,7,25,WR,WR14,29
DK Metcalf,SEA,5,26,WR,WR15,31
Calvin Ridley,JAX,9,29,WR,WR16,33
Deebo Samuel Sr.,SF,9,28,WR,WR17,36
Keenan Allen,LAC,5,32,WR,WR18,37
Amari Cooper,CLE,5,30,WR,WR19,39
DJ Moore,CHI,13,27,WR,WR20,48
DeAndre Hopkins,TEN,7,32,WR,WR21,49
Terry McLaurin,WAS,14,28,WR,WR22,51
Christian Watson,GB,6,25,WR,WR23,52
Drake London,ATL,11,22,WR,WR24,57
Mike Williams,LAC,5,29,WR,WR25,58
Chris Godwin,TB,5,28,WR,WR26,61
Jerry Jeudy,DEN,9,25,WR,WR27,62
Tyler Lockett,SEA,5,31,WR,WR28,65
Brandon Aiyuk,SF,9,26,WR,WR29,66
Christian Kirk,JAX,9,27,WR,WR30,68
Diontae Johnson,PIT,6,28,WR,WR31,72
Michael Pittman Jr.,IND,11,26,WR,WR32,76
Mike Evans,TB,5,30,WR,WR33,78
George Pickens,PIT,6,23,WR,WR34,79
Marquise Brown,ARI,14,27,WR,WR35,81
Jahan Dotson,WAS,14,24,WR,WR36,82
Jordan Addison,MIN,13,22,WR,WR37,84
Brandin Cooks,DAL,7,30,WR,WR38,88
Courtland Sutton,DEN,9,28,WR,WR39,90
Jaxon Smith-Njigba,SEA,5,22,WR,WR40,91
Gabe Davis,BUF,13,25,WR,WR41,96
Michael Thomas,NO,11,31,WR,WR42,97
JuJu Smith-Schuster,NE,11,27,WR,WR43,101
Zay Flowers,BAL,13,23,WR,WR44,107
Treylon Burks,TEN,7,24,WR,WR45,108
Odell Beckham Jr.,BAL,13,31,WR,WR46,109
Kadarius Toney,KC,10,25,WR,WR47,110
Quentin Johnston,LAC,5,22,WR,WR48,112
Skyy Moore,KC,10,23,WR,WR49,114
Elijah Moore,CLE,5,24,WR,WR50,116
Adam Thielen,CAR,7,33,WR,WR51,123
Allen Lazard,NYJ,7,28,WR,WR52,124
Jakobi Meyers,LV,13,27,WR,WR53,130
Rashod Bateman,BAL,13,24,WR,WR54,131
Jameson Williams,DET,9,23,WR,WR55,138
Nico Collins,HOU,7,25,WR,WR56,143
Romeo Doubs,GB,6,24,WR,WR57,144
Tyler Boyd,CIN,7,29,WR,WR58,149
Rondale Moore,ARI,14,24,WR,WR59,153
Zay Jones,JAX,9,29,WR,WR60,156
Darnell Mooney,CHI,13,26,WR,WR61,159
K.J. Osborn,MIN,13,27,WR,WR62,168
Jalin Hyatt,NYG,13,22,WR,WR63,170
Donovan Peoples-Jones,CLE,5,25,WR,WR64,173
Rashee Rice,KC,10,24,WR,WR65,178
Michael Gallup,DAL,7,28,WR,WR66,179
DJ Chark,CAR,7,27,WR,WR67,181
Jonathan Mingo,CAR,7,23,WR,WR68,191
Marquez Valdes-Scantling,KC,10,29,WR,WR69,197
Marvin Mims Jr.,DEN,9,22,WR,WR70,205
Hunter Renfrow,LV,13,28,WR,WR71,208
Alec Pierce,IND,11,24,WR,WR72,211
Parris Campbell,NYG,13,26,WR,WR73,213
Isaiah Hodgins,NYG,13,25,WR,WR74,219
Curtis Samuel,WAS,14,27,WR,WR75,226
Jayden Reed,GB,6,24,WR,WR76,228
Tank Dell,HOU,7,24,WR,WR77,232
Van Jefferson,LAR,10,27,WR,WR78,235
Justyn Ross,KC,10,24,WR,WR79,236
Wan'Dale Robinson,NYG,13,23,WR,WR80,237
Chase Claypool,CHI,13,26,WR,WR81,240
Terrace Marshall Jr.,CAR,7,24,WR,WR82,241
Rashid Shaheed,NO,11,25,WR,WR83,242
Darius Slayton,NYG,13,27,WR,WR84,245
John Metchie III,HOU,7,23,WR,WR85,254
Josh Downs,IND,11,22,WR,WR86,258
Joshua Palmer,LAC,5,24,WR,WR87,260
Richie James,KC,10,28,WR,WR88,262
Mecole Hardman Jr.,NYJ,7,26,WR,WR89,266
Tyquan Thornton,NE,11,23,WR,WR90,267
Khalil Shakir,BUF,13,24,WR,WR91,268
Robert Woods,HOU,7,32,WR,WR92,270
DeVante Parker,NE,11,31,WR,WR93,277
Laviska Shenault Jr.,CAR,7,25,WR,WR94,278
Allen Robinson II,PIT,6,30,WR,WR95,281
Mack Hollins,ATL,11,30,WR,WR96,293
Greg Dortch,ARI,14,26,WR,WR97,296
Jacob Copeland,MIN,13,24,WR,WR98,303
Calvin Austin III,PIT,6,25,WR,WR99,304
Kendrick Bourne,NE,11,28,WR,WR100,309
Travis Kelce,KC,10,34,TE,TE1,6
Mark Andrews,BAL,13,28,TE,TE2,28
T.J. Hockenson,MIN,13,27,TE,TE3,44
George Kittle,SF,9,30,TE,TE4,53
Darren Waller,NYG,13,31,TE,TE5,60
Dallas Goedert,PHI,10,29,TE,TE6,71
Kyle Pitts,ATL,11,23,TE,TE7,73
Evan Engram,JAX,9,29,TE,TE8,85
Pat Freiermuth,PIT,6,25,TE,TE9,93
David Njoku,CLE,5,28,TE,TE10,98
Dalton Schultz,HOU,7,28,TE,TE11,119
Dalton Kincaid,BUF,13,24,TE,TE12,135
Tyler Higbee,LAR,10,31,TE,TE13,136
Cole Kmet,CHI,13,25,TE,TE14,141
Juwan Johnson,NO,11,27,TE,TE15,142
Chigoziem Okonkwo,TEN,7,24,TE,TE16,146
Greg Dulcich,DEN,9,24,TE,TE17,151
Sam LaPorta,DET,9,23,TE,TE18,163
Dawson Knox,BUF,13,27,TE,TE19,166
Gerald Everett,LAC,5,30,TE,TE20,172
Michael Mayer,LV,13,23,TE,TE21,189
Irv Smith,CIN,7,25,TE,TE22,201
Luke Musgrave,GB,6,23,TE,TE23,204
Mike Gesicki,NE,11,28,TE,TE24,206
Jake Ferguson,DAL,7,25,TE,TE25,207
Zach Ertz,ARI,14,33,TE,TE26,223
Hayden Hurst,CAR,7,30,TE,TE27,230
Tyler Conklin,NYJ,7,28,TE,TE28,238
Hunter Henry,NE,11,29,TE,TE29,239
Noah Fant,SEA,5,26,TE,TE30,248
Isaiah Likely,BAL,13,24,TE,TE31,261
Trey McBride,ARI,14,24,TE,TE32,274
Darnell Washington,PIT,6,22,TE,TE33,289
Jelani Woods,IND,11,25,TE,TE34,299
Cade Otton,TB,5,25,TE,TE35,308
Daniel Bellinger,NYG,13,23,TE,TE36,323
Robert Tonyan,CHI,13,30,TE,TE37,328
Logan Thomas,WAS,14,33,TE,TE38,329
Julian Hill,MIA,10,24,TE,TE39,339
Austin Hooper,LV,13,29,TE,TE40,349
Jimmy Graham,NO,11,37,TE,TE41,352
Luke Schoonmaker,DAL,7,25,TE,TE42,373
Albert Okwuegbunam Jr.,PHI,10,26,TE,TE43,387
Foster Moreau,NO,11,27,TE,TE44,390
Will Dissly,SEA,5,28,TE,TE45,394
C.J. Uzomah,NYJ,7,31,TE,TE46,398
Durham Smythe,MIA,10,28,TE,TE47,405
Noah Gray,KC,10,25,TE,TE48,416
Connor Heyward,PIT,6,25,TE,TE49,423
Peyton Hendershot,DAL,7,25,TE,TE50,428
