NAME,TEAM,BYE,AGE,POS,POS RANK,ADP
Stefon Diggs,BUF,13,30,WR,WR3,13
DeAndre Hopkins,ARI,14,32,WR,WR4,16.7
Calvin Ridley,ATL,11,29,WR,WR5,17.9
DK Metcalf,SEA,5,26,WR,WR6,18.5
Justin Jefferson,MIN,13,25,WR,WR7,22.6
A.J. Brown,TEN,7,27,WR,WR8,24.1
Keenan Allen,LAC,5,32,WR,WR9,25.9
Terry McLaurin,WAS,14,28,WR,WR10,28.6
CeeDee Lamb,DAL,7,25,WR,WR11,30.9
Allen Robinson II,CHI,13,30,WR,WR12,33
Robert Woods,LAR,10,32,WR,WR13,35.6
Mike Evans,TB,5,30,WR,WR14,38.2
Amari Cooper,DAL,7,30,WR,WR15,39.4
Cooper Kupp,LAR,10,31,WR,WR16,44
Diontae Johnson,PIT,6,28,WR,WR17,44.8
Chris Godwin,TB,5,28,WR,WR18,46.8
Tyler Lockett,SEA,5,31,WR,WR19,48.7
Julio Jones,TEN,7,35,WR,WR20,50.3
Adam Thielen,MIN,13,33,WR,WR21,53.9
Brandon Aiyuk,SF,9,26,WR,WR22,54.5
DJ Moore,CAR,7,27,WR,WR23,59.1
Tee Higgins,CIN,7,25,WR,WR24,60.1
Jerry Jeudy,DEN,9,25,WR,WR25,63.1
Chase Claypool,PIT,6,26,WR,WR26,65.5
Odell Beckham Jr.,CLE,5,31,WR,WR27,68.7
Antonio Brown,TB,5,36,WR,WR28,72.5
Robbie Chosen,CAR,7,31,WR,WR30,74.9
DeVonta Smith,PHI,10,25,WR,WR29,74.9
Michael Thomas,NO,11,31,WR,WR31,75.4
Laviska Shenault Jr.,JAX,9,25,WR,WR32,76.9
Marquez Callaway,NO,11,26,WR,WR33,79.3
JuJu Smith-Schuster,PIT,6,27,WR,WR34,84.7
Courtland Sutton,DEN,9,28,WR,WR35,85.5
Ja'Marr Chase,CIN,7,24,WR,WR36,87.4
Corey Davis,NYJ,7,29,WR,WR37,88.3
Deebo Samuel Sr.,SF,9,28,WR,WR38,92.7
Tyler Boyd,CIN,7,29,WR,WR39,96.3
Michael Pittman Jr.,IND,11,26,WR,WR40,97.3
Kenny Golladay,NYG,13,30,WR,WR41,97.6
Jaylen Waddle,MIA,10,25,WR,WR42,100.7
Brandin Cooks,HOU,7,30,WR,WR43,103
Jakobi Meyers,NE,11,27,WR,WR44,103.6
Mecole Hardman Jr.,KC,10,26,WR,WR45,108.8
Darnell Mooney,CHI,13,26,WR,WR46,109.6
DJ Chark,JAX,9,27,WR,WR47,117.4
Mike Williams,LAC,5,29,WR,WR48,119.7
Jarvis Landry,CLE,5,31,WR,WR49,121.4
Elijah Moore,NYJ,7,24,WR,WR50,124.6
Marvin Jones Jr.,JAX,9,34,WR,WR51,128.4
William Fuller V,MIA,10,30,WR,WR52,130.1
Henry Ruggs III,LV,13,25,WR,WR53,132.2
Russell Gage,ATL,11,28,WR,WR54,134.3
Michael Gallup,DAL,7,28,WR,WR55,152
Curtis Samuel,WAS,14,27,WR,WR56,153
DeVante Parker,MIA,10,31,WR,WR57,154
Marquise Brown,BAL,13,27,WR,WR58,155
Tyrell Williams,DET,9,32,WR,WR59,156
Sterling Shepard,NYG,13,31,WR,WR60,157
Rondale Moore,ARI,14,24,WR,WR61,158
Cole Beasley,BUF,13,35,WR,WR62,159
Emmanuel Sanders,BUF,13,37,WR,WR63,160
Nelson Agholor,NE,11,31,WR,WR64,161
Terrace Marshall Jr.,CAR,7,24,WR,WR65,162
Jalen Reagor,PHI,10,25,WR,WR66,163
Tre'Quan Smith,NO,11,28,WR,WR67,164
Bryan Edwards,LV,13,25,WR,WR68,165
Gabe Davis,BUF,13,25,WR,WR69,166
A.J. Green,ARI,14,35,WR,WR70,167
Randall Cobb,GB,6,33,WR,WR71,168
Parris Campbell,IND,11,26,WR,WR72,169
Jamison Crowder,NYJ,7,31,WR,WR73,170
Nico Collins,HOU,7,25,WR,WR74,171
Amon-Ra St. Brown,DET,9,24,WR,WR75,172
Van Jefferson,LAR,10,27,WR,WR76,173
Darius Slayton,NYG,13,27,WR,WR77,174
Hunter Renfrow,LV,13,28,WR,WR78,175
Sammy Watkins,BAL,13,31,WR,WR79,176
Christian Kirk,ARI,14,27,WR,WR80,177
Marquez Valdes-Scantling,GB,6,29,WR,WR81,178
Quintez Cephus,DET,9,26,WR,WR82,179
Zach Pascal,IND,11,29,WR,WR83,182
Demarcus Robinson,KC,10,29,WR,WR84,183
Joshua Palmer,LAC,5,24,WR,WR85,184
Keelan Cole Sr.,NYJ,7,31,WR,WR86,185
KJ Hamler,DEN,9,25,WR,WR87,186
Byron Pringle,KC,10,30,WR,WR88,187
Donovan Peoples-Jones,CLE,5,25,WR,WR89,188
Dee Eskridge,SEA,5,27,WR,WR90,189
DeSean Jackson,LAR,10,37,WR,WR91,190
Chris Conley,HOU,7,31,WR,WR92,191
Anthony Miller,HOU,7,29,WR,WR93,192
Kendrick Bourne,NE,11,28,WR,WR94,193
Jalen Guyton,LAC,5,27,WR,WR95,194
Quez Watkins,PHI,10,26,WR,WR96,195
Allen Lazard,GB,6,28,WR,WR97,197
Josh Reynolds,TEN,7,29,WR,WR98,198
Denzel Mims,NYJ,7,26,WR,WR99,200
Kalif Raymond,DET,9,29,WR,WR100,201
Travis Kelce,KC,10,34,TE,TE1,6.9
Darren Waller,LV,13,31,TE,TE2,21.6
George Kittle,SF,9,30,TE,TE3,30.4
Kyle Pitts,ATL,11,23,TE,TE4,40.1
Mark Andrews,BAL,13,28,TE,TE5,50.6
T.J. Hockenson,DET,9,27,TE,TE6,55.4
Logan Thomas,WAS,14,33,TE,TE7,65.7
Noah Fant,DEN,9,26,TE,TE8,77.9
Robert Tonyan,GB,6,30,TE,TE9,83.8
Tyler Higbee,LAR,10,31,TE,TE10,87.1
Dallas Goedert,PHI,10,29,TE,TE11,102.2
Mike Gesicki,MIA,10,28,TE,TE12,106.1
Jonnu Smith,NE,11,28,TE,TE13,118.4
Rob Gronkowski,TB,5,35,TE,TE14,132
Gerald Everett,SEA,5,30,TE,TE15,150.8
Jared Cook,LAC,5,37,TE,TE16,308
Cole Kmet,CHI,13,25,TE,TE17,314
Hunter Henry,NE,11,29,TE,TE18,315
Anthony Firkser,TEN,7,29,TE,TE19,317
Austin Hooper,CLE,5,29,TE,TE20,319
Zach Ertz,PHI,10,33,TE,TE21,320
Evan Engram,NYG,13,29,TE,TE22,321
Eric Ebron,PIT,6,31,TE,TE23,325
Blake Jarwin,DAL,7,29,TE,TE24,328
Hayden Hurst,ATL,11,30,TE,TE25,337
Adam Trautman,NO,11,27,TE,TE26,338
Dawson Knox,BUF,13,27,TE,TE27,341
Tyler Conklin,MIN,13,28,TE,TE28,342
O.J. Howard,TB,5,29,TE,TE29,347
Jordan Akins,HOU,7,32,TE,TE30,354
Chris Herndon,MIN,13,28,TE,TE31,358
Dalton Schultz,DAL,7,28,TE,TE32,361
Dan Arnold,CAR,7,29,TE,TE33,365
Jimmy Graham,CHI,13,37,TE,TE34,367
Mo Alie-Cox,IND,11,30,TE,TE35,369
C.J. Uzomah,CIN,7,31,TE,TE36,372
Jack Doyle,IND,11,34,TE,TE37,377
Ryan Izzo,NYG,13,28,TE,TE38,380
Tyler Kroft,NYJ,7,31,TE,TE39,382
Albert Okwuegbunam Jr.,DEN,9,26,TE,TE40,383
David Njoku,CLE,5,28,TE,TE41,391
Kyle Rudolph,NYG,13,34,TE,TE42,392
Will Dissly,SEA,5,28,TE,TE43,393
Cameron Brate,TB,5,33,TE,TE44,396
Pat Freiermuth,PIT,6,25,TE,TE45,398
Harrison Bryant,CLE,5,26,TE,TE46,401
Donald Parham Jr.,LAC,5,26,TE,TE47,403
Brevin Jordan,HOU,7,23,TE,TE48,409
Drew Sample,CIN,7,28,TE,TE49,413
James O'Shaughnessy,JAX,9,32,TE,TE50,414
