NAME,TEAM,POS,GP,PASS YDS,PASS TDS,INT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FPTS/G,FPTS
Josh Allen,BUF,QB,16,4544,37,10,421,8,1,12,1,24.8,396.1
Aaron Rodgers,GB,QB,16,4299,48,5,149,3,1,-6,0,24,383.3
Kyler Murray,ARI,QB,16,3971,26,12,819,11,0,0,0,23.7,378.7
Patrick Mahomes,KC,QB,15,4740,38,6,308,2,0,0,0,25,374.4
Deshaun Watson,HOU,QB,16,4823,33,7,444,3,0,0,0,23.1,369.3
Russell Wilson,SEA,QB,16,4212,40,13,513,2,0,0,0,22.5,359.8
Ryan Tannehill,TEN,QB,16,3819,33,7,266,7,1,0,0,21.5,344.4
Tom Brady,TB,QB,16,4633,40,12,6,3,0,0,0,21.1,337.9
Justin Herbert,LAC,QB,15,4336,31,10,234,5,0,0,0,22.2,332.8
Lamar Jackson,BAL,QB,15,2757,26,9,1005,7,0,0,0,22.2,332.8
Kirk Cousins,MIN,QB,16,4265,35,13,156,1,0,0,0,19.1,306.2
Matt Ryan,ATL,QB,16,4581,26,11,92,2,0,0,0,17.5,280.4
Derek Carr,LV,QB,16,4103,27,9,140,3,0,0,0,17,272.1
Ben Roethlisberger,PIT,QB,15,3803,33,10,11,0,0,0,0,17.8,267.2
Cam Newton,NE,QB,15,2657,8,10,592,12,2,35,1,17.4,261
Matthew Stafford,DET,QB,16,4084,26,10,112,0,0,0,0,16.3,260.6
Baker Mayfield,CLE,QB,16,3563,26,8,165,1,1,6,0,15.5,248.6
Teddy Bridgewater,CAR,QB,15,3733,15,11,279,5,0,0,0,16.1,241.2
Jared Goff,LAR,QB,15,3952,20,13,99,4,0,0,0,16,240
Philip Rivers,IND,QB,16,4169,24,11,-8,0,0,0,0,15,240
Drew Brees,NO,QB,12,2942,24,6,-2,2,0,0,0,17.5,209.5
Carson Wentz,PHI,QB,12,2620,16,15,276,5,0,0,0,16.5,198.4
Drew Lock,DEN,QB,13,2933,16,15,160,3,0,0,0,13.9,181.3
Daniel Jones,NYG,QB,14,2943,11,10,423,1,0,0,0,12.9,180
Joe Burrow,CIN,QB,10,2688,13,5,142,3,0,0,0,17.4,173.7
Gardner Minshew II,JAX,QB,9,2259,16,5,153,1,1,0,0,17.9,160.7
Taysom Hill,NO,QB,16,928,4,2,457,8,8,98,1,9.8,156.6
Ryan Fitzpatrick,MIA,QB,9,2091,13,8,151,2,1,0,0,17.1,153.7
Mitchell Trubisky,CHI,QB,10,2055,16,8,195,1,0,0,0,15.4,153.7
Andy Dalton,DAL,QB,11,2169,14,8,114,0,1,-3,0,12.4,136.9
Dak Prescott,DAL,QB,5,1856,9,4,93,3,1,11,1,27.1,135.6
Tua Tagovailoa,MIA,QB,10,1814,11,5,109,3,0,0,0,13.5,135.5
Sam Darnold,NYJ,QB,12,2208,9,11,217,2,0,0,0,11.2,134
Nick Mullens,SF,QB,10,2437,12,12,8,0,0,0,0,11.6,116.3
Jalen Hurts,PHI,QB,15,1061,6,4,357,3,1,3,0,7.3,109.4
Nick Foles,CHI,QB,9,1852,10,8,1,1,0,0,0,11.6,104.2
Alex Smith,WAS,QB,8,1582,6,8,3,0,0,0,0,8.9,71.6
Dwayne Haskins,WAS,QB,7,1439,5,7,46,1,0,0,0,9.7,68.2
Jimmy Garoppolo,SF,QB,6,1096,7,5,25,0,0,0,0,10.7,64.3
Mike Glennon,JAX,QB,5,1072,7,5,17,0,0,0,0,12.1,60.6
Joe Flacco,NYJ,QB,5,864,6,3,22,0,0,0,0,11,54.8
C.J. Beathard,SF,QB,6,787,6,0,28,0,0,0,0,8.7,52.3
Brandon Allen,CIN,QB,5,925,5,4,27,0,0,0,0,9.9,49.7
Kyle Allen,WAS,QB,4,610,4,1,26,1,0,0,0,11.2,45
Jeff Driskel,DEN,QB,3,432,3,2,28,0,0,0,0,10,30.1
Jake Luton,JAX,QB,3,624,2,6,13,1,0,0,0,9.4,28.3
Marcus Mariota,LV,QB,1,226,1,1,88,1,0,0,0,25.8,25.8
Chad Henne,KC,QB,3,248,2,0,-2,1,0,0,0,7.9,23.7
