NAME,TEAM,POS,GP,PASS YDS,PASS TDS,INT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FPTS/G,FPTS
Jacoby Brissett,IND,QB,11,17,0,0,19,3,0,0,0,1.9,20.6
Ryan Finley,CIN,QB,5,164,1,2,66,1,0,0,0,3.8,19.2
Alvin Kamara,NO,RB,15,0,0,0,932,16,83,756,5,25.2,377.8
Dalvin Cook,MIN,RB,14,0,0,0,1557,16,44,361,1,24.1,337.8
Derrick Henry,TEN,RB,16,0,0,0,2027,17,19,114,0,20.8,333.1
David Montgomery,CHI,RB,15,0,0,0,1070,8,54,438,2,17.7,264.8
Aaron Jones,GB,RB,14,0,0,0,1104,9,47,355,2,18.5,258.9
Jonathan Taylor,IND,RB,15,0,0,0,1169,11,36,299,1,16.9,252.8
James Robinson,JAX,RB,14,0,0,0,1070,7,49,344,3,17.9,250.4
Josh Jacobs,LV,RB,15,0,0,0,1065,12,33,238,0,15.4,231.3
Ezekiel Elliott,DAL,RB,15,0,0,0,979,6,52,338,2,14.9,223.7
Kareem Hunt,CLE,RB,16,0,0,0,841,6,38,304,5,13.7,218.5
Nick Chubb,CLE,RB,12,0,0,0,1067,12,16,150,0,17.3,207.7
Mike Davis,CAR,RB,15,0,0,0,642,6,59,373,2,13.8,206.5
Antonio Gibson,WAS,RB,14,0,0,0,795,11,36,247,0,14.4,202.2
Melvin Gordon III,DEN,RB,15,0,0,0,986,9,32,158,1,13.2,198.4
Nyheim Hines,IND,RB,16,0,0,0,380,3,63,482,4,12.1,193.2
Kenyan Drake,ARI,RB,15,0,0,0,955,10,25,137,0,12.8,192.2
J.D. McKissic,WAS,RB,16,0,0,0,365,1,80,589,2,12,191.4
D'Andre Swift,DET,RB,13,0,0,0,521,8,46,357,2,14.6,189.8
Chris Carson,SEA,RB,12,0,0,0,681,5,37,287,4,15.7,187.8
Ronald Jones,TB,RB,14,0,0,0,978,7,28,165,1,13.3,186.3
David Johnson,HOU,RB,12,0,0,0,691,6,33,314,2,15,179.5
Clyde Edwards-Helaire,KC,RB,13,0,0,0,803,4,36,297,1,13.5,176
Miles Sanders,PHI,RB,12,0,0,0,867,6,28,197,0,14.2,170.4
J.K. Dobbins,BAL,RB,15,0,0,0,805,9,18,120,0,11.2,168.5
Chase Edmonds,ARI,RB,16,0,0,0,448,1,53,402,4,10.5,168
Austin Ekeler,LAC,RB,10,0,0,0,530,1,54,403,2,16.5,165.3
James Conner,PIT,RB,13,0,0,0,721,6,35,215,0,12.7,164.6
Myles Gaskin,MIA,RB,10,0,0,0,584,3,41,388,2,16.4,164.2
Todd Gurley II,ATL,RB,15,0,0,0,678,9,25,164,0,10.9,163.2
Giovani Bernard,CIN,RB,16,0,0,0,416,3,47,355,3,9.9,158.1
Devin Singletary,BUF,RB,16,0,0,0,687,2,38,269,0,9,143.6
Jeff Wilson Jr.,SF,RB,11,0,0,0,600,7,13,133,3,12.9,142.3
Wayne Gallman,NYG,RB,15,0,0,0,682,6,21,114,0,9.1,136.6
Latavius Murray,NO,RB,15,0,0,0,656,4,23,176,1,9.1,136.2
Leonard Fournette,TB,RB,13,0,0,0,367,6,36,233,0,10.2,132
Darrell Henderson Jr.,LAR,RB,15,0,0,0,624,5,16,159,1,8.7,130.3
Gus Edwards,BAL,RB,16,0,0,0,723,6,9,129,0,8,128.2
Jamaal Williams,GB,RB,14,0,0,0,505,2,31,236,1,9.1,127.1
Jerick McKinnon,SF,RB,16,0,0,0,319,5,33,253,1,7.9,126.2
Adrian Peterson,DET,RB,16,0,0,0,604,7,12,101,0,7.8,124.5
Tony Pollard,DAL,RB,16,0,0,0,435,4,28,192,1,7.5,120.7
James White,NE,RB,14,0,0,0,121,2,49,375,1,8.3,116.6
Malcolm Brown,LAR,RB,16,0,0,0,419,5,23,162,0,6.8,109.1
Rex Burkhead,NE,RB,10,0,0,0,274,3,25,192,3,10.8,107.6
Cam Akers,LAR,RB,13,0,0,0,625,2,11,123,1,7.8,101.8
Zack Moss,BUF,RB,13,0,0,0,481,4,14,95,1,7.8,101.6
Frank Gore,NYJ,RB,15,0,0,0,653,2,16,89,0,6.7,100.2
Raheem Mostert,SF,RB,8,0,0,0,521,2,16,156,1,12.5,99.7
Joe Mixon,CIN,RB,6,0,0,0,428,3,21,138,1,16.6,99.6
Boston Scott,PHI,RB,16,0,0,0,374,1,25,212,1,6,95.6
Brian Hill,ATL,RB,16,0,0,0,465,1,25,199,0,6,95.4
Kalen Ballage,LAC,RB,11,0,0,0,303,3,29,166,0,8.5,93.9
Damien Harris,NE,RB,10,0,0,0,691,2,5,52,0,9.1,91.3
Christian McCaffrey,CAR,RB,3,0,0,0,225,5,17,149,1,30.1,90.4
Alexander Mattison,MIN,RB,13,0,0,0,434,2,13,125,1,6.7,86.9
Devontae Booker,LV,RB,16,0,0,0,423,3,17,84,0,5.4,85.7
Carlos Hyde,SEA,RB,10,0,0,0,356,4,16,93,0,8.5,84.9
Duke Johnson,HOU,RB,11,0,0,0,235,1,28,249,1,7.7,84.4
Kyle Juszczyk,SF,FB,16,0,0,0,64,2,19,202,4,5.1,81.6
Joshua Kelley,LAC,RB,14,0,0,0,354,2,23,148,0,5.8,81.2
Sony Michel,NE,RB,9,0,0,0,449,1,7,114,1,8.4,75.3
Benny Snell Jr.,PIT,RB,16,0,0,0,368,4,10,61,0,4.7,74.9
Le'Veon Bell,KC,RB,11,0,0,0,328,2,16,138,0,6.8,74.6
Kerryon Johnson,DET,RB,16,0,0,0,181,2,19,187,1,4.5,71.8
Salvon Ahmed,MIA,RB,6,0,0,0,319,3,11,61,0,11.5,69
Phillip Lindsay,DEN,RB,11,0,0,0,502,1,7,28,0,6,66
Samaje Perine,CIN,RB,16,0,0,0,301,3,11,66,0,4.1,65.7
Justin Jackson,LAC,RB,9,0,0,0,270,0,19,173,0,7.3,65.3
Ty Johnson,NYJ,RB,13,0,0,0,254,1,16,99,1,4.9,63.3
Jordan Wilkins,IND,RB,15,0,0,0,308,1,12,105,0,4.1,61.3
Ito Smith,ATL,RB,14,0,0,0,268,1,17,75,0,4.1,57.3
Dion Lewis,NYG,RB,16,0,0,0,115,2,19,127,1,3.6,57.2
DeeJay Dallas,SEA,RB,12,0,0,0,108,2,17,111,1,4.7,56.9
Peyton Barber,WAS,RB,16,0,0,0,258,4,4,12,0,3.4,55
Darrel Williams,KC,RB,13,0,0,0,169,1,18,116,0,4.2,54.5
Mark Ingram II,BAL,RB,11,0,0,0,299,2,6,50,0,4.8,52.9
La'Mical Perine,NYJ,RB,10,0,0,0,232,2,11,63,0,5.2,52.5
Jalen Richard,LV,RB,13,0,0,0,123,1,19,138,0,3.9,51.1
Jeremy McNichols,TEN,RB,16,0,0,0,204,1,12,55,0,2.7,43.9
Chris Thompson,JAX,RB,8,0,0,0,20,0,20,146,1,5.3,42.6
Matt Breida,MIA,RB,12,0,0,0,254,0,9,96,0,3.5,42
Alfred Morris,NYG,RB,9,0,0,0,238,1,3,19,1,4.5,40.7
AJ Dillon,GB,RB,11,0,0,0,242,2,2,21,0,3.7,40.3
Royce Freeman,DEN,RB,16,0,0,0,170,0,12,81,0,2.3,37.1
Josh Adams,NYJ,RB,8,0,0,0,157,2,6,29,0,4.6,36.6
Rodney Smith,CAR,RB,7,0,0,0,156,1,9,59,0,5.2,36.5
Devonta Freeman,NYG,RB,5,0,0,0,172,1,7,58,0,7.2,36
Darwin Thompson,KC,RB,14,0,0,0,97,1,7,65,1,2.4,33.2
Travis Homer,SEA,RB,9,0,0,0,88,0,9,90,1,3.6,32.8
JaMycal Hasty,SF,RB,8,0,0,0,148,1,7,33,0,3.9,31.1
Jordan Howard,PHI,RB,7,0,0,0,60,4,1,-3,0,4.4,30.7
Ameer Abdullah,MIN,RB,16,0,0,0,42,0,8,58,2,1.9,30
Dare Ogunbowale,JAX,RB,14,0,0,0,145,0,10,54,0,2.1,29.9
Alec Ingold,LV,FB,16,0,0,0,4,0,12,110,1,1.8,29.4
LeSean McCoy,TB,RB,10,0,0,0,31,0,15,101,0,2.8,28.2
Tyler Ervin,GB,RB,8,0,0,0,67,0,11,84,0,3.3,26.1
C.J. Ham,MIN,FB,15,0,0,0,18,0,8,97,1,1.7,25.5
Ke'Shawn Vaughn,TB,RB,10,0,0,0,109,0,5,34,1,2.3,23.3
Anthony McFarland Jr.,PIT,RB,11,0,0,0,113,0,6,54,0,2.1,22.7
Patrick Laird,MIA,RB,16,0,0,0,72,0,10,68,0,1.4,22
Davante Adams,GB,WR,14,0,0,0,0,0,115,1374,18,25.6,358.4
Tyreek Hill,KC,WR,15,0,0,0,123,2,87,1276,15,21.9,328.9
Stefon Diggs,BUF,WR,16,0,0,0,1,0,127,1535,8,20.5,328.6
DeAndre Hopkins,ARI,WR,16,0,0,0,1,0,115,1407,6,18,287.8
Calvin Ridley,ATL,WR,15,0,0,0,1,0,90,1374,9,18.8,281.5
Justin Jefferson,MIN,WR,16,0,0,0,2,0,88,1400,7,17.1,274.2
DK Metcalf,SEA,WR,16,0,0,0,0,0,83,1303,10,17,271.3
Tyler Lockett,SEA,WR,16,0,0,0,0,0,100,1054,10,16.6,265.4
Allen Robinson II,CHI,WR,16,0,0,0,-1,0,102,1250,6,16.4,262.9
Adam Thielen,MIN,WR,15,0,0,0,15,0,74,925,14,16.9,254
Mike Evans,TB,WR,16,0,0,0,0,0,70,1006,13,15.5,248.6
Robert Woods,LAR,WR,16,0,0,0,155,2,90,936,6,15.3,245.1
Keenan Allen,LAC,WR,14,0,0,0,-1,0,100,992,8,17.5,245.1
A.J. Brown,TEN,WR,14,0,0,0,0,0,70,1075,11,17.2,241.5
Amari Cooper,DAL,WR,16,0,0,0,14,0,92,1114,5,14.8,236.8
JuJu Smith-Schuster,PIT,WR,16,0,0,0,0,0,97,831,9,14.6,234.1
Brandin Cooks,HOU,WR,15,0,0,0,0,0,81,1150,6,15.5,232
Marvin Jones Jr.,DET,WR,16,0,0,0,0,0,76,978,9,14.2,227.8
Robbie Chosen,CAR,WR,16,0,0,0,15,0,95,1096,3,14,224.1
Terry McLaurin,WAS,WR,15,0,0,0,30,0,87,1118,4,14.9,223.8
Diontae Johnson,PIT,WR,15,0,0,0,15,0,88,923,7,14.8,221.8
Chase Claypool,PIT,WR,16,0,0,0,16,2,62,873,9,13.4,214.9
Curtis Samuel,CAR,WR,15,0,0,0,200,2,77,851,3,14.1,212.1
CeeDee Lamb,DAL,WR,16,0,0,0,82,1,74,935,5,13.2,211.7
DJ Moore,CAR,WR,15,0,0,0,22,0,66,1193,4,14.1,211.5
Cooper Kupp,LAR,WR,15,0,0,0,33,0,92,974,3,13.9,208.7
Cole Beasley,BUF,WR,15,20,1,0,0,0,82,967,4,13.8,207.5
Tee Higgins,CIN,WR,16,0,0,0,28,0,67,908,6,12.2,194.6
Tyler Boyd,CIN,WR,15,16,0,0,49,0,79,841,4,12.8,192.6
Corey Davis,TEN,WR,14,0,0,0,0,0,65,984,5,13.7,191.4
Chris Godwin,TB,WR,12,0,0,0,0,0,65,840,7,15.9,191
William Fuller V,HOU,WR,11,0,0,0,0,0,53,879,8,17.2,188.9
Jarvis Landry,CLE,WR,15,74,1,0,10,1,72,840,3,12.5,188
Nelson Agholor,LV,WR,16,0,0,0,0,0,48,896,8,11.6,185.6
Brandon Aiyuk,SF,WR,12,0,0,0,77,2,60,748,5,15.4,184.5
Marquise Brown,BAL,WR,16,0,0,0,1,0,58,769,8,11.4,183
Russell Gage,ATL,WR,16,39,1,0,9,0,72,786,4,11.3,181.1
Michael Gallup,DAL,WR,16,0,0,0,0,0,59,843,5,10.8,173.3
Jamison Crowder,NYJ,WR,12,43,1,0,14,0,59,699,6,14.3,172
DeVante Parker,MIA,WR,14,0,0,0,0,0,63,793,4,11.9,166.3
Emmanuel Sanders,NO,WR,14,0,0,0,12,0,61,726,5,11.8,164.8
T.Y. Hilton,IND,WR,15,0,0,0,0,0,56,762,5,10.9,164.2
Sterling Shepard,NYG,WR,12,0,0,0,49,1,66,656,3,13.5,162.5
Tim Patrick,DEN,WR,15,0,0,0,0,0,51,742,6,10.7,161.2
Jerry Jeudy,DEN,WR,16,0,0,0,0,0,52,856,3,9.8,157.6
Laviska Shenault Jr.,JAX,WR,14,0,0,0,91,0,58,600,5,11.2,157.1
Mike Williams,LAC,WR,15,0,0,0,1,0,48,756,5,10.2,153.7
DJ Chark,JAX,WR,13,0,0,0,0,0,53,706,5,11.8,153.6
Darnell Mooney,CHI,WR,16,0,0,0,20,0,61,631,4,9.5,152.1
Keelan Cole Sr.,JAX,WR,16,0,0,0,2,0,55,642,5,9.3,149.4
Christian Kirk,ARI,WR,14,0,0,0,3,0,48,621,6,10.5,146.4
Julio Jones,ATL,WR,9,0,0,0,0,0,51,771,3,16.2,146.1
Jakobi Meyers,NE,WR,14,43,2,0,9,0,59,729,0,10.2,142.5
Darius Slayton,NYG,WR,16,0,0,0,-1,0,50,751,3,8.8,141
Marquez Valdes-Scantling,GB,WR,16,0,0,0,13,0,33,690,6,8.6,137.3
Zach Pascal,IND,WR,16,0,0,0,0,0,44,629,5,8.6,136.9
Gabe Davis,BUF,WR,16,0,0,0,0,0,35,599,7,8.6,136.9
Greg Ward,PHI,WR,16,15,0,0,-4,0,53,419,6,8.3,133.1
Hunter Renfrow,LV,WR,16,0,0,0,0,0,56,656,2,8.2,131.6
Kendrick Bourne,SF,WR,15,0,0,0,0,0,49,667,2,8.6,129.7
Josh Reynolds,LAR,WR,16,0,0,0,5,0,52,618,2,7.8,124.3
Mecole Hardman Jr.,KC,WR,16,0,0,0,31,0,41,560,4,7.6,122.1
Rashard Higgins,CLE,WR,13,0,0,0,0,0,37,599,4,9.3,120.9
David Moore,SEA,WR,16,0,0,0,61,0,35,417,6,7.4,118.8
Antonio Brown,TB,WR,8,0,0,0,-2,0,45,483,4,14.6,117.1
Travis Fulgham,PHI,WR,13,0,0,0,0,0,38,539,4,8.9,115.9
Damiere Byrd,NE,WR,16,0,0,0,15,0,47,604,1,7.2,114.9
A.J. Green,CIN,WR,16,0,0,0,0,0,47,523,2,7,111.3
Anthony Miller,CHI,WR,16,0,0,0,12,0,49,485,2,6.8,108.7
Demarcus Robinson,KC,WR,16,0,0,0,0,0,45,466,3,6.7,107.6
Danny Amendola,DET,WR,14,0,0,0,2,0,46,602,0,7.6,106.4
Tre'Quan Smith,NO,WR,14,0,0,0,3,0,34,448,4,7.4,103.1
Scotty Miller,TB,WR,16,0,0,0,14,0,33,501,3,6.4,102.5
Larry Fitzgerald,ARI,WR,13,0,0,0,0,0,54,409,1,7.8,100.9
Randall Cobb,HOU,WR,10,0,0,0,0,0,38,441,3,10,100.1
James Washington,PIT,WR,16,0,0,0,0,0,30,392,5,6.2,99.2
Breshad Perriman,NYJ,WR,12,0,0,0,6,0,30,505,3,8.3,99.1
Michael Pittman Jr.,IND,WR,13,0,0,0,26,0,40,503,1,7.6,98.9
Allen Lazard,GB,WR,10,0,0,0,17,0,33,451,3,9.8,97.8
Braxton Berrios,NYJ,WR,16,0,0,0,29,0,37,394,3,6.1,97.3
Jalen Guyton,LAC,WR,16,0,0,0,0,0,28,511,3,6.1,97.1
Chris Conley,JAX,WR,15,0,0,0,0,0,40,471,2,6.5,97.1
John Brown,BUF,WR,9,0,0,0,0,0,33,458,3,10.8,96.8
Willie Snead IV,BAL,WR,13,0,0,0,0,0,33,432,3,7.2,94.2
Isaiah McKenzie,BUF,WR,16,12,1,0,9,0,30,282,5,5.8,93.6
KJ Hamler,DEN,WR,13,0,0,0,40,0,30,381,3,6.9,90.1
Sammy Watkins,KC,WR,10,0,0,1,3,0,37,421,2,8.7,87.4
Keke Coutee,HOU,WR,8,0,0,0,0,0,33,400,3,10.9,87
Odell Beckham Jr.,CLE,WR,7,18,0,0,72,1,23,319,3,12.4,86.8
Golden Tate,NYG,WR,12,18,0,0,0,0,35,388,2,7.2,86.5
Cam Sims,WAS,WR,16,0,0,0,5,0,32,477,1,5.4,86.2
Henry Ruggs III,LV,WR,13,0,0,0,49,0,26,452,2,6.5,84.1
Michael Thomas,NO,WR,7,0,0,0,1,0,40,438,0,12,83.9
Jakeem Grant Sr.,MIA,WR,14,0,0,0,20,0,36,373,1,5.8,81.3
Jalen Reagor,PHI,WR,11,0,0,0,26,0,31,396,1,7.4,81.2
Deebo Samuel Sr.,SF,WR,7,0,0,0,26,0,33,391,1,11.5,80.7
Tyron Billy-Johnson,LAC,WR,12,0,0,0,17,0,20,398,3,6.6,79.5
Preston Williams,MIA,WR,8,0,0,0,0,0,18,288,4,9.3,74.8
N'Keal Harry,NE,WR,14,0,0,0,0,0,33,309,2,5.3,73.9
Miles Boykin,BAL,WR,16,0,0,0,0,0,19,266,4,4.3,69.6
Travis Kelce,KC,TE,15,4,0,0,0,0,105,1416,11,20.9,312.8
Darren Waller,LV,TE,16,0,0,0,0,0,107,1196,9,17.4,278.6
Logan Thomas,WAS,TE,16,28,0,0,5,0,72,670,6,11,176.6
Robert Tonyan,GB,TE,16,0,0,0,0,0,52,586,11,11,176.6
T.J. Hockenson,DET,TE,16,0,0,0,0,0,67,723,6,11,175.3
Mark Andrews,BAL,TE,14,0,0,0,0,0,58,701,7,12.2,170.1
Mike Gesicki,MIA,TE,15,0,0,0,0,0,53,703,6,10.6,159.3
Rob Gronkowski,TB,TE,16,0,0,0,0,0,45,623,7,9.3,149.3
Noah Fant,DEN,TE,15,0,0,0,0,0,62,673,3,10,149.3
Hayden Hurst,ATL,TE,16,0,0,0,0,0,56,571,6,9.3,149.1
Dalton Schultz,DAL,TE,16,0,0,0,0,0,63,615,4,9.2,146.5
Hunter Henry,LAC,TE,14,0,0,0,0,0,60,613,4,10.4,145.3
Jimmy Graham,CHI,TE,16,0,0,0,0,0,50,456,8,9,143.6
Eric Ebron,PIT,TE,15,0,0,0,0,0,56,558,5,9.5,141.8
Evan Engram,NYG,TE,16,0,0,0,26,1,63,654,1,8.8,141
Jonnu Smith,TEN,TE,15,0,0,0,4,1,41,448,8,9.3,140.2
Tyler Higbee,LAR,TE,15,0,0,0,1,0,44,521,5,8.5,128.2
Jared Cook,NO,TE,15,0,0,0,0,0,37,504,7,8.5,127.4
George Kittle,SF,TE,8,0,0,0,17,0,48,634,2,15.6,125.1
Dallas Goedert,PHI,TE,11,0,0,0,0,0,46,524,3,10.6,116.4
Austin Hooper,CLE,TE,13,0,0,0,0,0,46,435,4,8.7,113.5
Irv Smith,MIN,TE,13,0,0,0,0,0,30,365,5,7.6,98.5
Dan Arnold,ARI,TE,16,0,0,0,0,0,31,438,4,6,96.8
Gerald Everett,LAR,TE,16,0,0,0,2,1,41,417,1,5.8,92.9
Jordan Akins,HOU,TE,13,0,0,0,4,0,37,403,1,6.4,83.7
Anthony Firkser,TEN,TE,16,0,0,0,0,0,39,387,1,5.2,83.7
Trey Burton,IND,TE,13,0,0,0,3,2,28,250,3,6.4,83.3
Tyler Eifert,JAX,TE,15,0,0,0,0,0,36,349,2,5.5,82.9
Mo Alie-Cox,IND,TE,15,0,0,0,0,0,31,394,2,5.4,80.4
Drew Sample,CIN,TE,16,0,0,0,0,0,40,349,1,4.9,78.9
Zach Ertz,PHI,TE,11,0,0,0,0,0,36,335,1,7,77.5
Darren Fells,HOU,TE,16,0,0,0,0,0,21,312,4,4.8,76.2
Chris Herndon,NYJ,TE,16,0,0,0,0,0,31,287,3,4.6,73.7
Jordan Reed,SF,TE,10,0,0,0,0,0,26,231,4,7.3,73.1
Richard Rodgers,PHI,TE,14,0,0,0,0,0,24,345,2,5,70.5
Cameron Brate,TB,TE,16,0,0,0,0,0,28,282,2,4.3,68.2
Dawson Knox,BUF,TE,12,0,0,0,0,0,24,288,3,5.6,66.8
Jacob Hollister,SEA,TE,16,0,0,0,0,0,25,209,3,4.1,65.9
Kyle Rudolph,MIN,TE,12,0,0,0,0,0,28,334,1,5.5,65.4
Jack Doyle,IND,TE,14,0,0,0,0,0,23,251,3,4.6,64.1
Cole Kmet,CHI,TE,16,0,0,0,-3,0,28,243,2,3.9,62
Harrison Bryant,CLE,TE,15,0,0,0,0,0,24,238,3,4.1,61.8
Will Dissly,SEA,TE,16,0,0,0,0,0,24,251,2,3.8,61.1
Durham Smythe,MIA,TE,15,0,0,0,0,0,26,208,2,3.9,58.8
James O'Shaughnessy,JAX,TE,15,0,0,0,0,0,28,262,0,3.6,54.2
Greg Olsen,SEA,TE,11,0,0,0,0,0,24,239,1,4.9,53.9
David Njoku,CLE,TE,13,0,0,0,0,0,19,213,2,4,52.3
Ross Dwelley,SF,TE,16,0,0,0,0,0,19,245,1,3.1,49.5
Adam Shaheen,MIA,TE,16,0,0,0,0,0,12,150,3,2.8,45
Tyler Conklin,MIN,TE,16,0,0,0,0,0,19,194,1,2.8,44.4
