Player,Position,Team,ESPN,Sleeper,Yahoo,Underdog,Underdog LW,NFFC,FFPC,Dynasty ADP,RT,Con. ADP
Jerry Jeudy,WR,CLE,139.9,,133.5,124.3,0.2,141.3,148.2,130,140.1,140.6
Mike Williams,WR,NYJ,132.3,,131.8,124.7,4.6,136.9,142,148,147.8,136.5
Tua Tagovailoa,QB,MIA,141.7,,101.1,125.6,,106.5,95.7,114,107.3,112.6
Jerome Ford,RB,CLE,129.2,,124.1,125.9,0.1,110.9,121,141,114.3,124.7
Jared Goff,QB,DET,150.7,,107.2,127.2,0.1,102,88.6,135,99.2,112.6
Austin Ekeler,RB,WAS,102.7,,103.9,129.8,0.4,87.7,107.4,112,82.1,101.3
Dalton Schultz,TE,HOU,142.1,,122.7,130.2,0.4,137.8,108.1,116.5,130.2,131.1
Zach Charbonnet,RB,SEA,136.3,,130,132.4,-0.6,123.5,131.6,108.5,122.1,132.4
Justin Herbert,QB,LAC,140.6,,120.5,132.4,-0.4,122.3,102.4,83.5,104.3,120.1
Josh Downs,WR,IND,169.3,,132.4,132.6,1.2,146.8,168.8,109.5,172,153.1
Pat Freiermuth,TE,PIT,154.3,,131.9,133.5,-0.2,134.8,95.2,130,123.7,132.6
Gabe Davis,WR,JAC,165.8,,135.1,133.6,1.5,162.9,174.7,146.5,154.2,155.2
Ja'Lynn Polk,WR,NE,169.2,,,134.4,-4.6,189.9,188.5,151,211.3,184.9
Jahan Dotson,WR,WAS,169.2,,,137.4,1.2,143.1,163.2,134,158.7,155.7
Rico Dowdle,RB,DAL,166.8,,135.6,138.2,-1.2,147,143.1,195.5,140.2,150.9
Nick Chubb,RB,CLE,96.6,,85.7,138.4,-2.5,115.7,121.2,96,91.4,110.5
Xavier Legette,WR,CAR,162.1,,133.3,139,1.1,177.5,181.1,112,180.8,166.3
MarShawn Lloyd,RB,GB,160.3,,133.8,139.5,-2.7,149.4,135.7,125,144.1,148.1
Kendre Miller,RB,NO,153.7,,135.5,143.4,4.3,125.2,134.2,131.5,142,141.7
Ty Chandler,RB,MIN,162.9,,132.9,143.9,0.1,139.9,141.4,178.5,129.4,147.1
Cole Kmet,TE,CHI,152.2,,130,144.2,-0.2,142.7,117.7,124.5,130.7,138.1
Kirk Cousins,QB,ATL,155,,127.6,146.4,-0.5,129.6,112.5,158.5,128.9,133
Ricky Pearsall,WR,SF,168.8,,133.6,146.7,3.8,180.6,190.8,121.5,208.8,176
Darnell Mooney,WR,ATL,151,,,147,-0.8,165.2,169.5,181.5,193.4,167.8
T.J. Hockenson,TE,MIN,111.4,,122.1,148.2,-0.1,135.6,101.3,62.5,101.4,123.1
Luke Musgrave,TE,GB,169.2,,136.9,149,-0.8,157.5,125.4,142.5,161.9,152.2
Quentin Johnston,WR,LAC,169.6,,,150.7,1.2,152.8,185,129,176.5,167.2
Matthew Stafford,QB,LA,162.8,,126,151.2,-0.8,135.8,114.2,197.5,141.6,137.8
Jermaine Burton,WR,CIN,169.8,,,151.7,0.2,200.1,179.6,161.5,211.9,188.9
DeMario Douglas,WR,NE,163.7,,,152.6,-2.8,170.5,174.7,167.5,205.4,176
Jaleel McLaughlin,RB,DEN,166,,137.3,154,,153.2,149,189,154.3,156.1
Kimani Vidal,RB,LAC,169.7,,134.5,155.9,0.4,157.1,153.7,179,139.5,158.5
Jaylen Wright,RB,MIA,168.6,,134.7,157.2,3.5,143.5,147.6,116,145.6,151.9
Tyler Allgeier,RB,ATL,148.7,,134.5,158.2,-0.2,144.5,159,157,159.8,154.7
Hunter Henry,TE,NE,169,,138.6,159.1,-0.5,185.6,138.8,214,175.5,165
Adam Thielen,WR,CAR,159,,131.5,159.4,1.1,155.8,170.3,201.5,172,158.8
Aaron Rodgers,QB,NYJ,130,,130.4,159.9,-2,151.2,130.3,200.5,141.2,140.1
Deshaun Watson,QB,CLE,163,,134,161.2,-0.6,152.8,124.9,173.5,150.1,147.7
Chuba Hubbard,RB,CAR,168,,132.5,162.7,-1.8,143.7,157.1,146.5,152.9,153.3
Wan'Dale Robinson,WR,NYG,169.9,,,164.2,-3.3,190.7,187.2,170,209.4,186.2
Noah Fant,TE,SEA,169.6,,,165.3,-7.2,199,158.1,211,211.6,186.7
Antonio Gibson,RB,NE,158.2,,131.8,166.4,0.5,148.7,157.7,162,145.2,154
Geno Smith,QB,SEA,169.2,,131.7,167.3,-2.5,162.3,148.6,238,174.5,158.7
Ray Davis,RB,BUF,169.7,,,167.3,3.8,160.6,165,170,172.9,172.1
Baker Mayfield,QB,TB,165.9,,131.7,168.9,-0.1,159.9,137,186.5,150.1,151.7
Roman Wilson,WR,PIT,,,,169.4,4.9,206.1,211.1,134,224.9,202.7
Demarcus Robinson,WR,LA,,,,169.6,-2.4,217.8,193.8,294,241.3,208.3
Rashod Bateman,WR,BAL,169.6,,,170.5,3.3,201.7,207.6,187.5,235.4,198.8
Troy Franklin,WR,DEN,169.8,,,171.9,0.5,179.9,208.8,105.5,205,185.5
Michael Wilson,WR,ARI,,,,174.3,-2.3,182.3,195.2,150.5,146.2,176.2
Tyler Conklin,TE,NYJ,167.8,,,175.5,-2.4,172.5,130.8,269,179.2,168.9
Bucky Irving,RB,TB,,,,175.7,0.4,181.2,177.7,166,176.8,180.9
J.K. Dobbins,RB,LAC,137.2,,134.3,175.8,-2.2,145.8,148.8,169,120,150.8
Cade Otton,TE,TB,169.8,,140.7,176.6,-1,190.1,152.8,177.5,197.7,173.4
Will Levis,QB,TEN,168.9,,134.6,177.8,-0.5,168.8,156.1,188.5,169.9,163.1
Elijah Mitchell,RB,SF,169.4,,134.9,178.4,-0.3,170.6,170.8,209.5,192.8,174.6
Malachi Corley,WR,NYJ,,,,179.4,4.4,223.5,230.8,153.5,243.4,220.8
Marvin Mims,WR,DEN,168.7,,,181.1,1,185.9,194,134,225.7,189.2
Ben Sinnott,TE,WAS,168.4,,138.6,181.9,6,243.7,167.5,177.5,225.7,192.9
Isaiah Likely,TE,BAL,169.5,,134.7,183,1.8,173.7,155.2,147.5,205.4,174.2
Jonnu Smith,TE,MIA,169.7,,,185.1,-3,220.2,172.5,252,191.9,192.1
Luke McCaffrey,WR,WAS,169.5,,,186.6,1.5,245.7,223.7,179,247.5,218
Khalil Herbert,RB,CHI,169.6,,134.4,187.1,1.1,180.4,187.8,187,210.5,179
Braelon Allen,RB,NYJ,169.8,,,188.8,1.7,184.9,183.3,145.5,202.8,185
Chigoziem Okonkwo,TE,TEN,169.3,,138.8,190.3,0.7,206.3,163.4,184,182.6,177.1
Drake Maye,QB,NE,168.9,,,191.7,-2.2,246.2,205.2,137.5,217.1,204.5
Bryce Young,QB,CAR,168.7,,,192.1,-0.1,202.9,178.2,164.5,189.4,186.3
Tyrone Tracy,RB,NYG,169.4,,,193,0.4,188.8,181,197,169.2,187.1
Daniel Jones,QB,NYG,169.6,,,193.6,-2.1,216.8,185,276.5,178.1,190.2
Roschon Johnson,RB,CHI,,,,197.2,,174.5,176.3,157.5,185.9,181.9
Clyde Edwards-Helaire,RB,KC,168.8,,,197.8,-1.1,213.5,192.4,235,210.7,203.1
Derek Carr,QB,NO,169.8,,,198.4,-2.2,189.9,180.4,270,175.4,180.5
Tyler Boyd,WR,TEN,169.7,,,198.4,-3.7,250.1,270.8,204.5,246,225.1
Dameon Pierce,RB,HOU,169.7,,133.9,201.4,2.5,189.8,197.4,189,205.8,188.4
Bo Nix,QB,DEN,168.9,,,204.7,-1.9,237.1,201.2,212.5,205.3,205.6
Juwan Johnson,TE,NO,169.7,,,204.7,-2.8,238.9,181,220,219.5,203.4
D'Onta Foreman,RB,CLE,,,,206.3,1.1,206.6,195.9,243,213.5,208.9
Jelani Woods,TE,IND,169.9,,,206.6,2.1,257,201.4,265.5,259.8,222.1
J.J. McCarthy,QB,MIN,166.8,,129.1,206.9,-0.4,235.5,198.4,120,199.5,190.4
Russell Wilson,QB,PIT,169.2,,122.8,207.9,-0.8,205.9,193.4,241.5,191.6,182.3
Audric Estime,RB,DEN,,,,208.1,-2.8,199.1,203.2,176,216.1,207.7
Mike Gesicki,TE,CIN,169.8,,,208.2,2,245.9,192.9,270.5,218,210.5
Tank Bigsby,RB,JAC,,,,211.4,0.8,207.7,214.8,201.5,225.4,218
Odell Beckham,WR,MIA,168.4,,124.3,211.8,0.1,270.1,294.6,238,244.4,221.5
Justin Fields,QB,PIT,169.5,,132.9,211.9,,231.7,212.7,191.5,211.3,192.2
Keaton Mitchell,RB,BAL,169.6,,,213.4,0.9,228.8,219.2,159.5,224.9,210.1
Alexander Mattison,RB,LV,169.2,,,213.4,0.1,198,210.5,205.5,220.3,206.2
Ja'Tavion Sanders,TE,CAR,169.9,,,213.6,0.8,266.4,220.9,161.5,230.1,222.8
Tucker Kraft,TE,GB,169.7,,135.3,214.2,0.2,267.9,230.3,179.5,252.3,213.8
Gardner Minshew,QB,LV,,,,214.8,-0.2,251.7,239.3,255,210.5,227.6
Sam Darnold,QB,MIN,169.9,,,215.2,,253.1,243.8,,225.8,223
Zach Ertz,TE,WAS,169.8,,,215.4,0.1,253.4,228.5,244,228.3,221.8
AJ Dillon,RB,GB,169.8,,129.3,215.7,,242.5,282.5,191.5,242,214.6
Kenneth Gainwell,RB,PHI,169.8,,,215.7,0.2,229.9,261.8,223.5,223.2,222.6
Taysom Hill,TE,NO,165.1,,,215.8,0.1,159.7,281.2,253.5,160.6,193.7
Drew Sample,TE,CIN,,,,216,,,,,,216
Boston Scott,RB,LA,,,,216,,,,,,216
Isaiah Hodgins,WR,NYG,,,,216,,,,,,216
Trent Sherfield,WR,MIN,,,,216,,,,,,216
Derrick Gore,RB,WAS,,,,216,,,,,,216
Elijah Higgins,TE,ARI,,,,216,,,,,,216
Luke Farrell,TE,JAC,,,,216,,,,,,216
Devaughn Vele,WR,DEN,,,,216,,,,,,216
Jha'Quan Jackson,WR,TEN,,,,216,,,,,,216
Josh Whyle,TE,TEN,,,,216,,,,,,216
D.J. Montgomery,WR,IND,,,,216,,,,,,216
Nick Westbrook-Ikhine,WR,TEN,,,,216,,,,,,216
Jordan Whittington,WR,LA,,,,216,,,,,,216
Brenton Strange,TE,JAC,,,,216,,,,,,216
Tom Brady,QB,TB,169.4,,,216,,282.8,,,,222.7
Snoop Conner,RB,DAL,,,,216,,,,,,216
Pierre Strong,RB,CLE,,,,216,,,,,,216
Tahj Washington,WR,MIA,,,,216,,,,,,216
