NAME,TEAM,POS,GP,PASS YDS,PASS TDS,INT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FPTS/G,FPTS
Tyler Boyd,CIN,WR,16,0,0,0,5,0,75,961,6,12.8,205.6
Cooper Kupp,LAR,WR,16,0,0,0,24,0,70,931,7,12.8,205.5
Allen Robinson II,CHI,WR,16,0,0,0,7,0,71,972,6,12.7,202.9
Calvin Ridley,ATL,WR,16,0,0,0,25,0,66,836,8,12.4,198.1
Alshon Jeffery,PHI,WR,16,0,0,0,1,0,68,897,7,12.4,197.8
Mike Williams,LAC,WR,16,0,0,0,17,0,61,888,8,12.3,197.5
DJ Moore,CAR,WR,16,0,0,0,99,0,70,947,4,12.3,196.6
Jarvis Landry,CLE,WR,16,0,0,0,19,0,73,910,5,12.1,193.9
Robbie Chosen,NYJ,WR,16,0,0,0,8,0,61,900,7,12,191.8
Emmanuel Sanders,DEN,WR,16,0,0,0,30,0,72,835,5,11.7,186.5
Sterling Shepard,NYG,WR,16,0,0,0,18,0,67,891,5,11.6,185.9
Marvin Jones Jr.,DET,WR,16,0,0,0,1,0,59,900,6,11.6,185.1
Corey Davis,TEN,WR,16,0,0,0,35,0,64,864,5,11.4,181.9
Sammy Watkins,KC,WR,16,0,0,0,31,0,60,825,6,11.3,181.6
A.J. Green,CIN,WR,16,0,0,0,1,0,59,879,6,11.3,181
Josh Gordon,NE,WR,16,0,0,0,8,0,54,879,6,11.2,178.7
Larry Fitzgerald,ARI,WR,16,0,0,0,0,0,69,795,5,11,176.5
Dede Westbrook,JAX,WR,16,0,0,0,44,0,67,762,5,11,175.6
Dante Pettis,SF,WR,16,0,0,0,3,0,53,811,6,10.7,170.4
Curtis Samuel,CAR,WR,16,0,0,0,75,1,58,705,5,10.6,170
Christian Kirk,ARI,WR,16,0,0,0,32,0,61,814,4,10.5,167.6
William Fuller V,HOU,WR,16,0,0,0,4,0,52,770,6,10.3,165.4
Courtland Sutton,DEN,WR,16,0,0,0,5,0,56,784,5,10.3,164.9
Mohamed Sanu,ATL,WR,16,0,0,0,37,0,59,741,4,9.9,158.8
Donte Moncrief,PIT,WR,16,0,0,0,1,0,57,714,5,9.9,158.5
DeSean Jackson,PHI,WR,16,0,0,0,21,0,48,776,4,9.5,151.7
Jamison Crowder,NYJ,WR,16,0,0,0,15,0,57,710,4,9.5,151.5
Tyrell Williams,LV,WR,16,0,0,0,3,0,53,746,4,9.4,149.9
Michael Gallup,DAL,WR,16,0,0,0,0,0,53,743,4,9.3,149.3
Geronimo Allison,GB,WR,16,0,0,0,1,0,54,676,4,9.1,145.7
John Brown,BUF,WR,16,0,0,0,1,0,45,705,5,9.1,145.6
Albert Wilson,MIA,WR,16,0,0,0,35,0,53,639,4,9,144.4
Marquez Valdes-Scantling,GB,WR,16,0,0,0,15,0,49,697,4,9,144.2
Ted Ginn Jr.,NO,WR,16,0,0,0,52,0,47,651,4,8.8,141.3
DeVante Parker,MIA,WR,16,0,0,0,0,0,51,636,4,8.5,136.6
DK Metcalf,SEA,WR,16,0,0,0,19,0,42,624,5,8.5,136.3
Keke Coutee,HOU,WR,16,0,0,0,13,0,54,618,3,8.3,133.1
Paul Richardson,WAS,WR,16,0,0,0,16,0,45,619,4,8.3,132.5
James Washington,PIT,WR,16,0,0,0,1,0,45,614,4,8.2,130.5
Anthony Miller,CHI,WR,16,0,0,0,19,0,43,538,5,8,128.7
Cole Beasley,BUF,WR,16,0,0,0,2,0,48,558,3,7.6,122
Quincy Enunwa,NYJ,WR,16,0,0,0,1,0,46,575,3,7.6,121.6
Devin Funchess,IND,WR,16,0,0,0,0,0,43,545,4,7.6,121.5
Adam Humphries,TEN,WR,16,0,0,0,8,0,49,536,3,7.6,121.4
Golden Tate,NYG,WR,16,0,0,0,9,0,47,567,3,7.5,120.6
Marquise Goodwin,SF,WR,16,0,0,0,11,0,36,567,4,7.4,117.8
DaeSean Hamilton,DEN,WR,16,0,0,0,0,0,48,510,3,7.3,117
DJ Chark,JAX,WR,16,0,0,0,3,0,45,544,3,7.2,115.7
Willie Snead IV,BAL,WR,16,0,0,0,2,0,48,549,2,7.2,115.1
