NAME,TEAM,POS,GP,PASS YDS,PASS TDS,INT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FPTS/G,FPTS
Josh Allen,BUF,QB,17,4407,36,15,763,6,0,0,0,23.7,402.6
Justin Herbert,LAC,QB,17,5014,38,15,302,3,0,0,0,22.4,380.8
Tom Brady,TB,QB,17,5316,43,12,81,2,0,0,0,22,374.7
Patrick Mahomes,KC,QB,17,4839,37,13,381,2,0,0,0,21.3,361.7
Aaron Rodgers,GB,QB,16,4115,37,4,101,3,1,-4,0,20.8,333.3
Matthew Stafford,LAR,QB,17,4886,41,17,43,0,0,0,0,19.4,329.7
Dak Prescott,DAL,QB,16,4449,37,10,146,1,0,0,0,20,320.6
Joe Burrow,CIN,QB,16,4611,34,14,118,2,0,0,0,19.6,314.2
Jalen Hurts,PHI,QB,15,3144,16,9,784,10,0,0,0,20.8,312.2
Kyler Murray,ARI,QB,14,3787,24,10,423,5,0,7,0,21.5,300.5
Kirk Cousins,MIN,QB,16,4221,33,7,115,1,0,0,0,18.8,300.3
Ryan Tannehill,TEN,QB,17,3734,21,14,270,7,0,0,0,15.8,268.4
Carson Wentz,IND,QB,17,3563,27,7,215,1,0,0,0,15.2,258
Derek Carr,LV,QB,17,4804,23,14,108,0,0,0,0,15.1,257
Russell Wilson,SEA,QB,14,3113,25,6,183,2,0,0,0,17.3,242.8
Lamar Jackson,BAL,QB,12,2882,16,13,767,2,0,0,0,20,240
Jimmy Garoppolo,SF,QB,15,3810,20,12,51,3,0,0,0,15.2,227.5
Mac Jones,NE,QB,17,3801,22,13,129,0,0,0,0,13.2,224.9
Matt Ryan,ATL,QB,17,3968,20,12,82,1,0,0,0,13.1,222.9
Taylor Heinicke,WAS,QB,16,3419,20,15,313,1,1,-2,0,13.9,222.9
Ben Roethlisberger,PIT,QB,16,3740,22,10,5,1,0,0,0,13.6,218.1
Teddy Bridgewater,DEN,QB,14,3052,18,7,106,2,0,0,0,14.5,202.7
Trevor Lawrence,JAX,QB,17,3641,12,17,334,2,0,0,0,11.7,199
Jared Goff,DET,QB,14,3245,19,8,87,0,0,0,0,13.9,194.5
Tua Tagovailoa,MIA,QB,13,2653,16,10,128,3,0,0,0,13.9,180.9
Baker Mayfield,CLE,QB,14,3010,17,13,134,1,0,11,0,12.9,180.9
Daniel Jones,NYG,QB,11,2428,10,7,298,2,1,16,0,15.2,167.5
Sam Darnold,CAR,QB,12,2527,9,13,222,5,0,0,0,13.1,157.3
Davis Mills,HOU,QB,13,2664,16,10,44,0,0,0,0,12.1,157
Zach Wilson,NYJ,QB,13,2334,9,11,185,4,0,0,0,11.7,151.9
Justin Fields,CHI,QB,12,1870,7,10,420,2,0,0,0,10.6,126.8
Taysom Hill,NO,QB,12,978,4,5,374,5,4,52,0,10.1,121.7
Jameis Winston,NO,QB,7,1170,14,3,166,1,0,0,0,16.8,117.4
Trevor Siemian,NO,QB,6,1154,11,3,20,1,0,0,0,15,90.2
Cam Newton,CAR,QB,8,684,4,5,230,5,0,0,0,10.8,86.4
Andy Dalton,CHI,QB,8,1515,8,9,76,0,0,0,0,10.5,84.2
Tyler Huntley,BAL,QB,7,1081,3,4,294,2,0,0,0,11.8,82.6
Tyrod Taylor,HOU,QB,6,966,5,5,151,3,0,0,0,13.6,81.7
Jacoby Brissett,MIA,QB,11,1283,5,4,70,1,0,0,0,6.6,72.3
Trey Lance,SF,QB,6,603,5,2,168,1,0,0,0,10.8,64.9
Geno Smith,SEA,QB,4,702,5,1,42,1,0,0,0,13.6,54.3
Drew Lock,DEN,QB,6,787,2,2,53,2,1,1,0,8.6,51.9
Josh Johnson,BAL,QB,4,638,5,2,28,0,0,0,0,11.6,46.3
Mike White,NYJ,QB,4,953,5,8,-1,0,0,0,0,11,44
Colt McCoy,ARI,QB,8,740,3,1,37,0,0,0,0,5.2,41.3
Gardner Minshew II,PHI,QB,4,439,4,1,21,0,0,0,0,8.4,33.7
Mike Glennon,NYG,QB,6,790,4,10,33,1,0,0,0,5.1,30.9
Case Keenum,CLE,QB,7,462,3,1,22,0,0,0,0,4.1,28.7
Tim Boyle,DET,QB,5,526,3,6,13,0,0,0,0,4.9,24.3
Cooper Rush,DAL,QB,5,422,3,1,-8,0,0,0,0,4.8,24.1
Jonathan Taylor,IND,RB,17,0,0,0,1811,18,40,360,2,21.9,373.1
Austin Ekeler,LAC,RB,16,0,0,0,911,12,70,647,8,21.5,343.8
Najee Harris,PIT,RB,17,0,0,0,1200,7,74,467,3,17.7,300.7
Joe Mixon,CIN,RB,16,0,0,0,1205,13,42,314,3,18,287.9
James Conner,ARI,RB,15,0,0,0,752,15,37,375,3,17.2,257.7
Leonard Fournette,TB,RB,14,0,0,0,812,8,69,454,2,18.3,255.6
Ezekiel Elliott,DAL,RB,17,4,0,0,1002,10,47,287,2,14.8,252.1
Alvin Kamara,NO,RB,13,0,0,0,898,4,47,439,5,18.1,234.7
Cordarrelle Patterson,ATL,RB,16,0,0,0,618,6,52,548,5,14.7,234.6
Antonio Gibson,WAS,RB,16,0,0,0,1037,7,42,294,3,14.3,229.1
Aaron Jones,GB,RB,15,0,0,0,799,4,52,391,6,15.3,229
Josh Jacobs,LV,RB,15,0,0,0,872,9,54,348,0,15.1,226
Nick Chubb,CLE,RB,14,0,0,0,1259,8,20,174,1,15.4,215.3
Damien Harris,NE,RB,15,0,0,0,929,15,18,132,0,14,210.1
D'Andre Swift,DET,RB,13,0,0,0,617,5,62,452,2,16.1,208.9
Dalvin Cook,MIN,RB,13,0,0,0,1159,6,34,224,0,15.9,206.3
Javonte Williams,DEN,RB,17,0,0,0,903,4,43,316,3,12.1,204.9
Devin Singletary,BUF,RB,17,0,0,0,870,7,40,228,1,11.6,197.8
Darrel Williams,KC,RB,17,0,0,0,558,6,47,452,2,11.5,196
Melvin Gordon III,DEN,RB,16,0,0,0,918,8,28,213,2,12.2,195.1
David Montgomery,CHI,RB,13,0,0,1,849,7,42,301,0,15,195
Derrick Henry,TEN,RB,8,5,1,0,937,10,18,154,0,24.2,193.3
AJ Dillon,GB,RB,17,0,0,0,803,5,34,313,2,10.9,185.6
James Robinson,JAX,RB,14,0,0,0,767,8,31,222,0,12.4,173.9
Myles Gaskin,MIA,RB,17,0,0,0,612,3,49,234,4,10.2,173.6
Elijah Mitchell,SF,RB,11,0,0,0,963,5,19,137,1,15,165
Darrell Henderson Jr.,LAR,RB,12,0,0,0,688,5,29,176,3,13.6,163.4
Tony Pollard,DAL,RB,15,0,0,0,719,2,39,337,0,10.4,156.6
Michael Carter,NYJ,RB,14,0,0,0,639,4,36,325,0,11,154.4
Saquon Barkley,NYG,RB,13,0,0,0,593,2,41,263,2,11.4,148.6
Devonta Freeman,BAL,RB,16,0,0,0,576,5,34,190,1,9.2,146.6
Sony Michel,LAR,RB,17,0,0,0,845,4,21,128,1,8.6,146.3
Devontae Booker,NYG,RB,16,0,0,0,593,2,40,268,1,9,144.1
Chase Edmonds,ARI,RB,12,0,0,0,592,2,43,311,0,11.9,143.3
Mike Davis,ATL,RB,17,0,0,0,503,3,44,259,1,8.1,138.2
Chuba Hubbard,CAR,RB,17,0,0,0,612,5,25,174,1,8.1,137.6
J.D. McKissic,WAS,RB,11,0,0,0,212,2,43,397,2,11.6,127.9
Christian McCaffrey,CAR,RB,7,0,0,0,442,1,37,343,1,18.2,127.5
Alexander Mattison,MIN,RB,16,0,0,0,491,3,32,228,1,7.9,125.9
Brandon Bolden,NE,RB,17,0,0,0,226,1,41,405,2,7.3,124.1
Kenneth Gainwell,PHI,RB,16,0,0,0,291,5,33,253,1,7.7,123.4
Rashaad Penny,SEA,RB,10,0,0,0,749,6,6,48,0,12.2,121.7
Jamaal Williams,DET,RB,13,0,0,0,601,3,26,157,0,9.2,119.8
Clyde Edwards-Helaire,KC,RB,10,0,0,0,517,4,19,129,2,11.8,117.6
Miles Sanders,PHI,RB,12,0,0,0,754,0,26,158,0,9.8,117.2
Ty Johnson,NYJ,RB,16,0,0,0,238,2,34,372,2,7.3,117
Rhamondre Stevenson,NE,RB,12,0,0,0,606,5,14,123,0,9.6,114.9
Nyheim Hines,IND,RB,17,0,0,0,276,2,40,310,1,6.6,112.6
Kareem Hunt,CLE,RB,8,0,0,0,386,5,22,174,0,13.8,110
Mark Ingram II,NO,RB,14,0,0,0,554,2,27,162,0,7.8,108.6
Zack Moss,BUF,RB,13,0,0,0,345,4,23,197,1,8.1,105.2
Rex Burkhead,HOU,RB,16,0,0,0,427,3,25,186,0,6.5,104.3
D'Ernest Johnson,CLE,RB,17,0,0,0,534,3,19,137,0,6.1,104.1
Latavius Murray,BAL,RB,14,0,0,0,501,6,10,75,0,7.4,103.6
Kenyan Drake,LV,RB,12,0,0,0,254,2,30,291,1,8.5,102.5
Boston Scott,PHI,RB,16,0,0,0,373,7,13,83,0,6.2,98.6
D'Onta Foreman,TEN,RB,9,0,0,0,566,3,9,123,0,10.4,93.9
Ameer Abdullah,CAR,RB,17,0,0,0,166,0,38,289,1,5.3,89.5
Justin Jackson,LAC,RB,14,0,0,0,364,2,22,178,0,6.2,86.2
Samaje Perine,CIN,RB,16,0,0,0,246,1,27,196,1,5.2,83.2
David Johnson,HOU,RB,13,0,0,0,228,0,32,225,1,6.3,81.3
Ronald Jones,TB,RB,16,0,0,0,428,4,10,64,0,5,79.2
Khalil Herbert,CHI,RB,17,0,0,0,433,2,14,96,0,4.6,78.9
Kyle Juszczyk,SF,FB,17,0,0,0,22,1,30,296,1,4.3,73.8
