NAME,TEAM,BYE,AGE,POS,POS RANK,ADP
Zamir White,LV,10,24,RB,RB24,75
Jonathon Brooks,CAR,11,20,RB,RB25,84
Zack Moss,CIN,12,26,RB,RB26,86
Tony Pollard,TEN,5,27,RB,RB27,88
Jaylen Warren,PIT,9,25,RB,RB28,90
Raheem Mostert,MIA,6,32,RB,RB29,92
Javonte Williams,DEN,14,24,RB,RB30,95
Devin Singletary,NYG,11,26,RB,RB31,98
Austin Ekeler,WAS,14,29,RB,RB32,100
Brian Robinson Jr.,WAS,14,25,RB,RB33,103
Tyjae Spears,TEN,5,23,RB,RB34,104
Nick Chubb,CLE,10,28,RB,RB35,105
Trey Benson,ARI,11,21,RB,RB36,106
Blake Corum,LAR,6,23,RB,RB37,112
Ezekiel Elliott,DAL,7,28,RB,RB38,114
Jerome Ford,CLE,10,24,RB,RB39,115
Gus Edwards,LAC,5,29,RB,RB40,116
Chase Brown,CIN,12,24,RB,RB41,118
Zach Charbonnet,SEA,10,23,RB,RB42,125
Kendre Miller,NO,12,22,RB,RB43,134
Ty Chandler,MIN,6,26,RB,RB44,136
Rico Dowdle,DAL,7,26,RB,RB45,139
MarShawn Lloyd,GB,10,23,RB,RB46,141
J.K. Dobbins,LAC,5,25,RB,RB47,143
Jaylen Wright,MIA,6,21,RB,RB48,146
Chuba Hubbard,CAR,11,25,RB,RB49,148
Antonio Gibson,NE,14,26,RB,RB50,153
Jaleel McLaughlin,DEN,14,23,RB,RB51,154
Kimani Vidal,LAC,5,22,RB,RB52,157
Tyler Allgeier,ATL,12,24,RB,RB53,161
Ray Davis,BUF,12,24,RB,RB54,168
Tyrone Tracy Jr.,NYG,11,24,RB,RB55,175
Bucky Irving,TB,11,21,RB,RB56,180
Braelon Allen,NYJ,12,20,RB,RB57,185
Elijah Mitchell,SF,9,26,RB,RB58,187
Roschon Johnson,CHI,7,23,RB,RB59,188
Khalil Herbert,CHI,7,26,RB,RB60,196
Dameon Pierce,HOU,14,24,RB,RB61,199
Keaton Mitchell,BAL,14,22,RB,RB62,210
Clyde Edwards-Helaire,KC,6,25,RB,RB63,213
Audric Estimé,DEN,14,20,RB,RB64,215
Tank Bigsby,JAX,12,22,RB,RB65,226
D'Onta Foreman,CLE,10,28,RB,RB66,232
Alexander Mattison,LV,10,26,RB,RB67,243
Will Shipley,PHI,5,21,RB,RB68,244
Isaac Guerendo,SF,9,24,RB,RB69,257
Samaje Perine,DEN,14,28,RB,RB70,262
Kenneth Gainwell,PHI,5,25,RB,RB71,263
Dylan Laube,LV,10,24,RB,RB72,264
AJ Dillon,GB,10,26,RB,RB73,269
Miles Sanders,CAR,11,27,RB,RB74,277
Justice Hill,BAL,14,26,RB,RB75,282
Trey Sermon,IND,14,25,RB,RB76,285
Deuce Vaughn,DAL,7,22,RB,RB77,290
Rasheen Ali,BAL,14,23,RB,RB78,291
Jamaal Williams,NO,12,29,RB,RB79,294
Eric Gray,NYG,11,24,RB,RB80,296
Frank Gore Jr.,BUF,12,22,RB,RB81,297
Evan Hull,IND,14,23,RB,RB82,300
Adam Prentice,NO,12,27,FB,RB83,301
Israel Abanikanda,NYJ,12,21,RB,RB84,302
Dare Ogunbowale,HOU,14,30,RB,RB85,310
Daijun Edwards,PIT,9,23,RB,RB86,311
Kene Nwangwu,MIN,6,26,RB,RB87,353
Troy Hairston,HOU,14,25,FB,RB88,359
Salvon Ahmed,MIA,6,25,RB,RB89,362
James Robinson,NO,12,25,RB,RB90,363
Ellis Merriweather,GB,10,25,RB,RB91,365
Raheem Blackshear,CAR,11,26,RB,RB92,369
Kyle Juszczyk,SF,9,33,FB,RB93,378
Owen Wright,BAL,14,25,RB,RB94,382
Malik Davis,DAL,7,25,RB,RB95,387
Patrick Ricard,BAL,14,30,FB,RB96,394
Blake Watson,DEN,14,24,RB,RB97,400
D'Ernest Johnson,JAX,12,28,RB,RB98,416
Jordan Mason,SF,9,25,RB,RB99,418
Boston Scott,LAR,6,29,RB,RB100,430
CeeDee Lamb,DAL,7,25,WR,WR1,2
Tyreek Hill,MIA,6,30,WR,WR2,3
Justin Jefferson,MIN,6,25,WR,WR3,4
Ja'Marr Chase,CIN,12,24,WR,WR4,5
Amon-Ra St. Brown,DET,5,24,WR,WR5,6
A.J. Brown,PHI,5,27,WR,WR6,9
Puka Nacua,LAR,6,23,WR,WR7,10
Garrett Wilson,NYJ,12,23,WR,WR8,12
Marvin Harrison Jr.,ARI,11,21,WR,WR9,14
Davante Adams,LV,10,31,WR,WR10,16
Drake London,ATL,12,22,WR,WR11,17
Chris Olave,NO,12,24,WR,WR12,18
Nico Collins,HOU,14,25,WR,WR13,21
Brandon Aiyuk,SF,9,26,WR,WR14,22
Deebo Samuel Sr.,SF,9,28,WR,WR15,24
Jaylen Waddle,MIA,6,25,WR,WR16,27
Mike Evans,TB,11,30,WR,WR17,28
Stefon Diggs,HOU,14,30,WR,WR18,31
Michael Pittman Jr.,IND,14,26,WR,WR19,32
DJ Moore,CHI,7,27,WR,WR20,34
DK Metcalf,SEA,10,26,WR,WR21,36
DeVonta Smith,PHI,5,25,WR,WR22,37
Cooper Kupp,LAR,6,31,WR,WR23,38
Malik Nabers,NYG,11,20,WR,WR24,39
Zay Flowers,BAL,14,23,WR,WR25,45
George Pickens,PIT,9,23,WR,WR26,47
Amari Cooper,CLE,10,30,WR,WR27,50
Tee Higgins,CIN,12,25,WR,WR28,52
Tank Dell,HOU,14,24,WR,WR29,54
Christian Kirk,JAX,12,27,WR,WR30,56
Keenan Allen,CHI,7,32,WR,WR31,58
Terry McLaurin,WAS,14,28,WR,WR32,60
Chris Godwin,TB,11,28,WR,WR33,63
Marquise Brown,KC,6,27,WR,WR34,65
Jayden Reed,GB,10,24,WR,WR35,67
Calvin Ridley,TEN,5,29,WR,WR36,69
Rashee Rice,KC,6,24,WR,WR37,73
DeAndre Hopkins,TEN,5,32,WR,WR38,76
Diontae Johnson,CAR,11,28,WR,WR39,77
Xavier Worthy,KC,6,21,WR,WR40,79
Jordan Addison,MIN,6,22,WR,WR41,80
Ladd McConkey,LAC,5,22,WR,WR42,81
Rome Odunze,CHI,7,22,WR,WR43,82
Christian Watson,GB,10,25,WR,WR44,89
Jaxon Smith-Njigba,SEA,10,22,WR,WR45,93
Keon Coleman,BUF,12,21,WR,WR46,94
Brian Thomas Jr.,JAX,12,21,WR,WR47,98
Jameson Williams,DET,5,23,WR,WR48,101
Courtland Sutton,DEN,14,28,WR,WR49,102
Curtis Samuel,BUF,12,27,WR,WR50,107
Tyler Lockett,SEA,10,31,WR,WR51,117
Khalil Shakir,BUF,12,24,WR,WR52,121
Romeo Doubs,GB,10,24,WR,WR53,122
Joshua Palmer,LAC,5,24,WR,WR54,126
Jakobi Meyers,LV,10,27,WR,WR55,128
Jerry Jeudy,CLE,10,25,WR,WR56,129
Rashid Shaheed,NO,12,25,WR,WR57,131
Mike Williams,NYJ,12,29,WR,WR58,132
Brandin Cooks,DAL,7,30,WR,WR59,135
Adonai Mitchell,IND,14,21,WR,WR60,138
Josh Downs,IND,14,22,WR,WR61,142
Gabe Davis,JAX,12,25,WR,WR62,145
Jahan Dotson,WAS,14,24,WR,WR63,148
Xavier Legette,CAR,11,23,WR,WR64,149
Dontayvion Wicks,GB,10,23,WR,WR65,154
Quentin Johnston,LAC,5,22,WR,WR66,159
Ricky Pearsall,SF,9,23,WR,WR67,162
Adam Thielen,CAR,11,33,WR,WR68,163
Darnell Mooney,ATL,12,26,WR,WR69,167
Michael Wilson,ARI,11,24,WR,WR70,170
Demario Douglas,NE,14,23,WR,WR71,172
Jermaine Burton,CIN,12,23,WR,WR72,173
Ja'Lynn Polk,NE,14,23,WR,WR73,174
Troy Franklin,DEN,14,21,WR,WR74,179
Malachi Corley,NYJ,12,22,WR,WR75,182
Wan'Dale Robinson,NYG,11,23,WR,WR76,189
Roman Wilson,PIT,9,23,WR,WR77,192
Luke McCaffrey,WAS,14,23,WR,WR78,194
Rashod Bateman,BAL,14,24,WR,WR79,203
Jalen McMillan,TB,11,22,WR,WR80,209
Demarcus Robinson,LAR,6,29,WR,WR81,212
Marvin Mims Jr.,DEN,14,22,WR,WR82,214
Javon Baker,NE,14,22,WR,WR83,216
Devontez Walker,BAL,14,23,WR,WR84,218
Zay Jones,ARI,11,29,WR,WR85,226
Tyler Boyd,TEN,5,29,WR,WR86,227
Darius Slayton,NYG,11,27,WR,WR87,238
Greg Dortch,ARI,11,26,WR,WR88,239
Jalen Tolbert,DAL,7,25,WR,WR89,241
Jalin Hyatt,NYG,11,22,WR,WR90,249
Rondale Moore,ATL,12,24,WR,WR91,251
Kendrick Bourne,NE,14,28,WR,WR92,254
A.T. Perry,NO,12,24,WR,WR93,258
Odell Beckham Jr.,MIA,6,31,WR,WR94,259
Elijah Moore,CLE,10,24,WR,WR95,266
DJ Chark,LAC,5,27,WR,WR96,268
Malik Washington,MIA,6,23,WR,WR97,271
Brenden Rice,LAC,5,22,WR,WR98,275
K.J. Osborn,NE,14,27,WR,WR99,280
Allen Lazard,NYJ,12,28,WR,WR100,281
Sam LaPorta,DET,5,23,TE,TE1,25
Travis Kelce,KC,6,34,TE,TE2,30
Trey McBride,ARI,11,24,TE,TE3,46
Mark Andrews,BAL,14,28,TE,TE4,48
Dalton Kincaid,BUF,12,24,TE,TE5,51
Kyle Pitts,ATL,12,23,TE,TE6,61
George Kittle,SF,9,30,TE,TE7,70
Evan Engram,JAX,12,29,TE,TE8,72
Jake Ferguson,DAL,7,25,TE,TE9,91
Brock Bowers,LV,10,21,TE,TE10,95
David Njoku,CLE,10,28,TE,TE11,97
Dallas Goedert,PHI,5,29,TE,TE12,111
T.J. Hockenson,MIN,6,27,TE,TE13,120
Dalton Schultz,HOU,14,28,TE,TE14,123
Pat Freiermuth,PIT,9,25,TE,TE15,130
Cole Kmet,CHI,7,25,TE,TE16,133
Luke Musgrave,GB,10,23,TE,TE17,156
Hunter Henry,NE,14,29,TE,TE18,171
Tyler Conklin,NYJ,12,28,TE,TE19,186
Cade Otton,TB,11,25,TE,TE20,188
Chigoziem Okonkwo,TEN,5,24,TE,TE21,197
Ben Sinnott,WAS,14,22,TE,TE22,199
Isaiah Likely,BAL,14,24,TE,TE23,204
Jonnu Smith,MIA,6,28,TE,TE24,205
Noah Fant,SEA,10,26,TE,TE25,207
Mike Gesicki,CIN,12,28,TE,TE26,232
Jelani Woods,IND,14,25,TE,TE27,235
Ja'Tavion Sanders,CAR,11,21,TE,TE28,237
Colby Parkinson,LAR,6,25,TE,TE29,243
Juwan Johnson,NO,12,27,TE,TE30,244
Theo Johnson,NYG,11,23,TE,TE31,250
Tucker Kraft,GB,10,23,TE,TE32,255
Hayden Hurst,LAC,5,30,TE,TE33,264
Dawson Knox,BUF,12,27,TE,TE34,269
Zach Ertz,WAS,14,33,TE,TE35,273
Greg Dulcich,DEN,14,24,TE,TE36,274
Michael Mayer,LV,10,23,TE,TE37,278
Daniel Bellinger,NYG,11,23,TE,TE38,288
Gerald Everett,CHI,7,30,TE,TE39,304
Tyler Higbee,LAR,6,31,TE,TE40,313
Tanner Conner,MIA,6,26,TE,TE41,323
Ben Sims,GB,10,24,TE,TE42,331
Marcedes Lewis,CHI,7,40,TE,TE43,356
Pharaoh Brown,SEA,10,30,TE,TE44,362
Brenton Strange,JAX,12,23,TE,TE45,366
Lucas Krull,DEN,14,26,TE,TE46,368
Tommy Tremble,CAR,11,24,TE,TE47,372
Foster Moreau,NO,12,27,TE,TE48,401
Ian Thomas,CAR,11,28,TE,TE49,402
Noah Gray,KC,6,25,TE,TE50,405
