NAME,TEAM,BYE,AGE,POS,POS RANK,ADP
Josh Allen,BUF,12,28,QB,QB1,29
Jalen Hurts,PHI,5,25,QB,QB2,40
Patrick Mahomes,KC,6,28,QB,QB3,42
Lamar Jackson,BAL,14,27,QB,QB4,43
C.J. Stroud,HOU,14,22,QB,QB5,57
Anthony Richardson,IND,14,22,QB,QB6,59
Joe Burrow,CIN,12,27,QB,QB7,78
Kyler Murray,ARI,11,26,QB,QB8,83
Dak Prescott,DAL,7,30,QB,QB9,85
Jordan Love,GB,10,25,QB,QB10,87
Brock Purdy,SF,9,24,QB,QB11,108
Jayden Daniels,WAS,14,23,QB,QB12,109
Caleb Williams,CHI,7,22,QB,QB13,110
Jared Goff,DET,5,29,QB,QB14,113
Tua Tagovailoa,MIA,6,26,QB,QB15,119
Justin Herbert,LAC,5,26,QB,QB16,123
Trevor Lawrence,JAX,12,24,QB,QB17,126
Kirk Cousins,ATL,12,35,QB,QB18,140
Matthew Stafford,LAR,6,36,QB,QB19,152
Aaron Rodgers,NYJ,12,40,QB,QB20,158
Deshaun Watson,CLE,10,28,QB,QB21,166
Baker Mayfield,TB,11,29,QB,QB22,169
Will Levis,TEN,5,25,QB,QB23,183
Taysom Hill,NO,12,33,QB,QB24,184
Geno Smith,SEA,10,33,QB,QB25,197
Drake Maye,NE,14,21,QB,QB26,198
J.J. McCarthy,MIN,6,21,QB,QB27,207
Daniel Jones,NYG,11,27,QB,QB28,214
Bryce Young,CAR,11,22,QB,QB29,220
Bo Nix,DEN,14,24,QB,QB30,222
Russell Wilson,PIT,9,35,QB,QB31,223
Derek Carr,NO,12,33,QB,QB32,224
Justin Fields,PIT,9,25,QB,QB33,249
Gardner Minshew II,LV,10,28,QB,QB34,254
Sam Darnold,MIN,6,27,QB,QB35,270
Aidan O'Connell,LV,10,25,QB,QB36,278
Michael Penix Jr.,ATL,12,24,QB,QB37,293
Skylar Thompson,MIA,6,27,QB,QB38,322
Shane Buechele,BUF,12,26,QB,QB39,331
Tommy Devito,NYG,11,25,QB,QB40,348
Dresser Winn,LAR,6,25,QB,QB41,354
Jake Fromm,WAS,14,25,QB,QB42,357
Davis Mills,HOU,14,25,QB,QB43,374
Ben DiNucci,DEN,14,27,QB,QB44,389
Easton Stick,LAC,5,28,QB,QB45,392
Jake Haener,NO,12,25,QB,QB46,393
Clayton Tune,ARI,11,25,QB,QB47,399
Nathan Rourke,NYG,11,26,QB,QB48,408
Nathan Peterman,NO,12,30,QB,QB49,414
Jacoby Brissett,NE,14,31,QB,QB50,420
Christian McCaffrey,SF,9,28,RB,RB1,1
Bijan Robinson,ATL,12,22,RB,RB2,7
Breece Hall,NYJ,12,23,RB,RB3,8
Jahmyr Gibbs,DET,5,22,RB,RB4,11
Jonathan Taylor,IND,14,25,RB,RB5,13
Saquon Barkley,PHI,5,27,RB,RB6,15
Kyren Williams,LAR,6,23,RB,RB7,19
De'Von Achane,MIA,6,22,RB,RB8,21
Derrick Henry,BAL,14,30,RB,RB9,23
Travis Etienne Jr.,JAX,12,25,RB,RB10,25
Josh Jacobs,GB,10,26,RB,RB11,33
Isiah Pacheco,KC,6,25,RB,RB12,35
Rachaad White,TB,11,25,RB,RB13,41
James Cook,BUF,12,24,RB,RB14,44
Joe Mixon,HOU,14,27,RB,RB15,49
Kenneth Walker III,SEA,10,23,RB,RB16,53
Alvin Kamara,NO,12,28,RB,RB17,55
Aaron Jones,MIN,6,29,RB,RB18,62
Rhamondre Stevenson,NE,14,26,RB,RB19,64
D'Andre Swift,CHI,7,25,RB,RB20,66
David Montgomery,DET,5,27,RB,RB21,68
James Conner,ARI,11,29,RB,RB22,71
Najee Harris,PIT,9,26,RB,RB23,74
