Player,Team,Pos,GP,PassingYds,PassingTD,Int,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FPTS/G,FPTS
Gardner Minshew II,LV,QB,17.0,2414.2,13.6,8.2,75.9,1.3,0.0,0.0,0.0,8.5,144.5
Sam Darnold,MIN,QB,17.0,1335.2,7.2,4.4,63.1,0.6,0.0,0.0,0.0,4.7,79.9
Aidan O'Connell,LV,QB,17.0,1337.0,7.5,4.7,19.9,0.3,0.0,0.0,0.0,4.4,74.8
Justin Fields,PIT,QB,17.0,667.9,3.9,2.6,167.0,1.2,0.0,0.0,0.0,3.5,59.5
Taysom Hill,NO,QB,17.0,0.0,0.0,0.0,144.6,1.6,20.7,193.5,1.2,2.2,37.4
Jacoby Brissett,NE,QB,17.0,693.7,3.7,3.1,38.1,0.1,0.0,0.0,0.0,2.3,39.1
Jimmy Garoppolo,LAR,QB,17.0,485.3,3.1,1.9,11.3,0.1,0.0,0.0,0.0,1.7,28.9
Drew Lock,NYG,QB,17.0,486.3,2.6,1.8,19.4,0.1,0.0,0.0,0.0,1.6,27.2
Sam Howell,SEA,QB,17.0,441.5,2.6,1.8,24.9,0.3,0.0,0.0,0.0,1.6,27.2
Tyrod Taylor,NYJ,QB,17.0,430.1,2.5,1.3,30.2,0.2,0.0,0.0,0.0,1.6,27.2
Jarrett Stidham,DEN,QB,17.0,399.1,2.4,1.7,25.1,0.2,0.0,0.0,0.0,1.5,25.5
Jake Browning,CIN,QB,17.0,396.6,2.6,1.5,17.4,0.1,0.0,0.0,0.0,1.5,25.5
Michael Penix Jr.,ATL,QB,17.0,363.9,2.4,1.3,13.9,0.2,0.0,0.0,0.0,1.4,23.8
Mason Rudolph,TEN,QB,17.0,397.4,2.2,1.3,8.0,0.1,0.0,0.0,0.0,1.4,23.8
Jameis Winston,CLE,QB,17.0,359.3,2.2,1.7,13.7,0.1,0.0,0.0,0.0,1.2,20.4
Mike White,MIA,QB,17.0,373.9,2.1,1.5,4.2,0.0,0.0,0.0,0.0,1.2,20.4
Joe Flacco,IND,QB,17.0,348.1,2.0,1.1,6.0,0.1,0.0,0.0,0.0,1.2,20.4
Desmond Ridder,ARI,QB,17.0,337.0,1.9,1.3,18.3,0.1,0.0,0.0,0.0,1.2,20.4
Mac Jones,JAX,QB,17.0,342.1,1.9,1.4,12.3,0.1,0.0,0.0,0.0,1.2,20.4
Nathan Peterman,NO,QB,17.0,309.0,2.0,1.4,16.5,0.1,0.0,0.0,0.0,1.1,18.7
Hendon Hooker,DET,QB,17.0,305.9,2.0,1.0,11.4,0.1,0.0,0.0,0.0,1.1,18.7
Sean Clifford,GB,QB,17.0,310.5,2.1,1.1,9.4,0.0,0.0,0.0,0.0,1.1,18.7
Josh Johnson,BAL,QB,17.0,295.1,1.8,1.0,25.0,0.1,0.0,0.0,0.0,1.2,20.4
Ian Book,KC,QB,17.0,239.0,1.6,0.9,31.0,0.6,0.0,0.0,0.0,1.2,20.4
Easton Stick,LAC,QB,17.0,299.5,1.7,1.0,21.5,0.1,0.0,0.0,0.0,1.1,18.7
Case Keenum,HOU,QB,17.0,288.2,1.9,1.2,11.5,0.1,0.0,0.0,0.0,1.0,17.0
Carson Wentz,KC,QB,17.0,281.7,1.8,1.1,12.2,0.1,0.0,0.0,0.0,1.0,17.0
Zach Wilson,DEN,QB,17.0,270.7,1.5,1.1,25.6,0.2,0.0,0.0,0.0,1.1,18.7
Joshua Dobbs,SF,QB,17.0,253.6,1.7,0.9,18.2,0.1,0.0,0.0,0.0,1.0,17.0
Cooper Rush,DAL,QB,17.0,282.9,1.8,1.2,4.9,0.0,0.0,0.0,0.0,1.0,17.0
Mitchell Trubisky,BUF,QB,17.0,242.6,1.7,1.1,15.0,0.1,0.0,0.0,0.0,0.9,15.3
Marcus Mariota,WAS,QB,17.0,264.3,1.3,1.2,22.7,0.2,0.0,0.0,0.0,1.0,17.0
Kenny Pickett,PHI,QB,17.0,265.8,1.4,0.9,14.9,0.1,0.0,0.0,0.0,0.9,15.3
Tyson Bagent,CHI,QB,17.0,252.6,1.4,1.1,15.7,0.1,0.0,0.0,0.0,0.9,15.3
Jake Haener,NO,QB,17.0,242.4,1.5,0.9,5.5,0.0,0.0,0.0,0.0,0.8,13.6
Andy Dalton,CAR,QB,17.0,241.4,1.4,0.8,8.5,0.0,0.0,0.0,0.0,0.8,13.6
Davis Mills,HOU,QB,17.0,239.4,1.4,0.6,6.1,0.0,0.0,0.0,0.0,0.8,13.6
Kyle Trask,TB,QB,17.0,229.7,1.5,0.8,6.6,0.0,0.0,0.0,0.0,0.8,13.6
Stetson Bennett,LAR,QB,17.0,220.8,1.5,0.6,3.6,0.0,0.0,0.0,0.0,0.8,13.6
Michael Pratt,GB,QB,17.0,224.0,1.3,0.7,8.6,0.0,0.0,0.0,0.0,0.8,13.6
Trey Lance,DAL,QB,17.0,193.7,1.1,0.8,22.6,0.1,0.0,0.0,0.0,0.8,13.6
Spencer Rattler,NO,QB,17.0,202.8,1.3,0.5,8.0,0.0,0.0,0.0,0.0,0.7,11.9
Taylor Heinicke,ATL,QB,17.0,202.4,1.0,0.9,17.4,0.2,0.0,0.0,0.0,0.7,11.9
Joe Milton III,NE,QB,17.0,190.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.5,8.5
Jordan Travis,NYJ,QB,17.0,188.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.6,10.2
Nick Mullens,MIN,QB,17.0,175.9,0.9,0.8,11.6,0.1,0.0,0.0,0.0,0.6,10.2
Tyler Huntley,CLE,QB,17.0,133.4,0.7,0.6,16.5,0.0,0.0,0.0,0.0,0.5,8.5
Sam Hartman,WAS,QB,17.0,100.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.5,8.5
Nathan Rourke,NYG,QB,17.0,96.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.5,8.5
Clayton Tune,ARI,QB,17.0,134.3,0.8,0.7,7.4,0.0,0.0,0.0,0.0,0.5,8.5
Bailey Zappe,NE,QB,17.0,129.1,0.7,0.7,9.8,0.0,0.0,0.0,0.0,0.4,6.8
Malik Willis,TEN,QB,17.0,109.1,0.7,0.6,17.0,0.0,0.0,0.0,0.0,0.5,8.5
C.J. Beathard,JAX,QB,17.0,119.3,0.7,0.6,9.8,0.0,0.0,0.0,0.0,0.4,6.8
Jaren Hall,MIN,QB,17.0,110.6,0.6,0.6,16.6,0.0,0.0,0.0,0.0,0.4,6.8
Tommy Devito,NYG,QB,17.0,122.1,0.6,0.6,10.6,0.0,0.0,0.0,0.0,0.4,6.8
Kyle Allen,PIT,QB,17.0,117.8,0.6,0.6,8.1,0.0,0.0,0.0,0.0,0.4,6.8
Skylar Thompson,MIA,QB,17.0,101.0,0.6,0.6,12.5,0.0,0.0,0.0,0.0,0.4,6.8
Shane Buechele,BUF,QB,17.0,67.0,0.4,0.2,9.0,0.2,0.0,0.0,0.0,0.4,6.8
Tanner McKee,PHI,QB,17.0,53.8,0.7,0.0,5.4,0.0,0.0,0.0,0.0,0.3,5.1
Sam Ehlinger,IND,QB,17.0,50.1,0.7,0.0,5.4,0.0,0.0,0.0,0.0,0.3,5.1
Dorian Thompson-Robinson,CLE,QB,17.0,66.4,0.1,0.0,9.6,0.0,0.0,0.0,0.0,0.2,3.4
Nate Sudfeld,DET,QB,17.0,47.0,0.3,0.3,2.0,0.0,0.0,0.0,0.0,0.2,3.4
Devin Leary,BAL,QB,17.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.4
Brett Rypien,CHI,QB,17.0,14.0,0.1,0.1,2.0,0.0,0.0,0.0,0.0,0.1,1.7
PJ Walker,SEA,QB,17.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Duggan,LAC,QB,17.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Brown Jr.,LV,QB,17.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Driskel,WAS,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Brandon Allen,SF,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Christian McCaffrey,SF,RB,17.0,0.0,0.0,0.0,1229.7,10.5,66.4,540.9,5.0,19.6,333.2
Breece Hall,NYJ,RB,17.0,0.0,0.0,0.0,1057.3,8.4,65.2,535.8,3.9,17.4,295.8
Bijan Robinson,ATL,RB,17.0,0.0,0.0,0.0,1052.2,7.2,61.4,513.4,4.3,16.6,282.2
Saquon Barkley,PHI,RB,17.0,0.0,0.0,0.0,1153.4,9.0,44.5,324.1,2.9,15.3,260.1
Jonathan Taylor,IND,RB,17.0,0.0,0.0,0.0,1248.6,9.7,34.4,265.6,1.8,14.8,251.6
Kyren Williams,LAR,RB,17.0,0.0,0.0,0.0,1098.0,10.2,36.0,256.1,2.5,14.3,243.1
