1,Josh Allen,BUF,QB,17,4292.8,32.7,14,634.9,6.1,0,0,0,0,0,0,0,21.6,366.8
2,Patrick Mahomes,KC,QB,17,4842.8,36.7,11.3,336.1,2.7,0,0,0,0,0,0,0,21.4,363.5
3,Jalen Hurts,PHI,QB,17,3814.4,23.3,8.9,763.8,10.7,0,0,0,0,0,0,0,21.2,361.2
4,Lamar Jackson,BAL,QB,17,3730.4,25.7,12.8,867.4,4.4,0,0,0,0,0,0,0,19.6,332.6
5,Joe Burrow,CIN,QB,17,4519.8,33.1,12.8,241.6,3.5,0,0,0,0,0,0,0,19.2,326.8
6,Justin Herbert,LAC,QB,17,4623,30.9,11.2,210.6,1.7,0,0,0,0,0,0,0,18.4,312
7,Justin Fields,CHI,QB,17,2966.5,20.1,13.2,1004.3,7.6,0,0,0,0,0,0,0,18.2,309.3
8,Trevor Lawrence,JAX,QB,17,4205.4,27.4,10.9,282,3.6,0,0,0,0,0,0,0,17.5,297
9,Deshaun Watson,CLE,QB,17,3903.1,24.3,12.1,448.9,4,0,0,0,0,0,0,0,17.2,291.8
10,Kirk Cousins,MIN,QB,17,4551.9,30,13.4,94.4,1.4,0,0,0,0,0,0,0,16.8,285.7
11,Daniel Jones,NYG,QB,17,3532.3,19.9,9.3,591.5,4.8,0,0,0,0,0,0,0,16.6,282.6
12,Geno Smith,SEA,QB,17,4042,27.8,10.9,289.5,1.4,0,0,0,0,0,0,0,16.5,281
13,Dak Prescott,DAL,QB,17,3983.7,28,12.7,236.2,2.1,0,0,0,0,0,0,0,16.2,276
14,Anthony Richardson,IND,QB,17,3115.8,17.3,13.5,798.7,6,0,0,0,0,0,0,0,16.2,275.9
15,Tua Tagovailoa,MIA,QB,17,4220.1,28,11.8,111.8,1.3,0,0,0,0,0,0,0,16.1,273.8
16,Aaron Rodgers,NYJ,QB,17,4038.7,26.8,8.2,106.5,1.4,0,0,0,0,0,0,0,15.6,265.6
17,Jared Goff,DET,QB,17,4162.6,27,9.5,71.6,1,0,0,0,0,0,0,0,15.4,262.1
18,Russell Wilson,DEN,QB,17,3730.7,23.7,11,278.1,2.8,0,0,0,0,0,0,0,15.4,261
19,Kenny Pickett,PIT,QB,17,3517.9,20.2,12.9,312.4,3.3,0,0,0,0,0,0,0,14.2,241
20,Jordan Love,GB,QB,17,3706.5,23,14,200.2,1.7,0,0,0,0,0,0,0,13.9,236.9
