NAME,TEAM,POS,GP,PASS YDS,PASS TDS,INT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FPTS/G,FPTS
Brett Hundley,ARI,QB,16.00,254.00,1.00,2.00,19.00,0.00,0.00,0.00,0.00,0.80,12.10
Tyrod Taylor,LAC,QB,16.00,180.00,1.00,1.00,25.00,0.00,0.00,0.00,0.00,0.70,11.70
Colt McCoy,WAS,QB,16.00,224.00,1.00,1.00,7.00,0.00,0.00,0.00,0.00,0.70,11.70
Tim Boyle,GB,QB,16.00,190.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,11.60
Drew Stanton,CLE,QB,16.00,187.00,1.00,1.00,14.00,0.00,0.00,0.00,0.00,0.70,10.90
Trevor Siemian,NYJ,QB,16.00,196.00,1.00,1.00,9.00,0.00,0.00,0.00,0.00,0.70,10.70
Will Grier,CAR,QB,16.00,208.00,1.00,1.00,3.00,0.00,0.00,0.00,0.00,0.70,10.60
Teddy Bridgewater,NO,QB,16.00,124.00,1.00,1.00,30.00,0.00,0.00,0.00,0.00,0.60,10.00
Mason Rudolph,PIT,QB,16.00,187.00,1.00,1.00,3.00,0.00,0.00,0.00,0.00,0.60,9.80
Matt Barkley,BUF,QB,16.00,180.00,1.00,1.00,4.00,0.00,0.00,0.00,0.00,0.60,9.60
Kyle Allen,CAR,QB,16.00,136.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.60,9.50
Mike Glennon,LV,QB,16.00,118.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.60,8.80
Josh McCown,PHI,QB,16.00,129.00,1.00,1.00,6.00,0.00,0.00,0.00,0.00,0.50,7.80
Chase Daniel,CHI,QB,16.00,134.00,1.00,1.00,4.00,0.00,0.00,0.00,0.00,0.50,7.80
Matt Schaub,ATL,QB,16.00,59.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.40,6.50
Joshua Dobbs,PIT,QB,16.00,80.00,1.00,1.00,9.00,0.00,0.00,0.00,0.00,0.40,6.10
