1,Patrick Mahomes,KC,QB,17,5265,40.2,8.2,319.5,2.4,0,0,0,0,0,0,0,23.3,395.9
2,Josh Allen,BUF,QB,17,4672.2,34,12.3,484.4,7.1,0,0,0,0,0,0,0,22.4,381.5
3,Kyler Murray,ARI,QB,17,4289.8,26.9,12.8,729.1,7.5,0,0,0,0,0,0,0,21.4,364.1
4,Lamar Jackson,BAL,QB,17,3428.8,26.1,10.2,991.8,6.6,0,0,0,0,0,0,0,20.8,353.1
5,Dak Prescott,DAL,QB,17,5017.8,31.6,11.7,305.4,3.8,0,0,0,0,0,0,0,20.6,350.6
6,Aaron Rodgers,GB,QB,17,4641.4,37.4,6.6,163.6,2,0,0,0,0,0,0,0,20.3,344.6
7,Russell Wilson,SEA,QB,17,4530.5,33.9,11.2,424.4,2.2,0,0,0,0,0,0,0,20.2,343.3
8,Justin Herbert,LAC,QB,17,4674.6,32.8,11.3,264.7,4,0,0,0,0,0,0,0,20,340.4
9,Tom Brady,TB,QB,17,4832,37.1,12.6,23,1.8,0,0,0,0,0,0,0,19.1,324.8
10,Jalen Hurts,PHI,QB,17,4048.1,23.3,15.5,714.5,5.4,0,0,0,0,0,0,0,18.7,318.6
11,Ryan Tannehill,TEN,QB,17,4169.1,31.5,9.8,255.6,4.1,0,0,0,0,0,0,0,18.7,317.9
12,Matthew Stafford,LAR,QB,17,4965.2,30.1,12,132.4,0.9,0,0,0,0,0,0,0,18.1,307.4
13,Joe Burrow,CIN,QB,17,4508,26.4,9.8,233.8,2.8,0,0,0,0,0,0,0,17.6,298.7
14,Trevor Lawrence,JAX,QB,17,4109.7,25.2,13.7,327.8,3.3,0,0,0,0,0,0,0,16.7,283.2
15,Matt Ryan,ATL,QB,17,4521.8,28.2,12.6,102,1.4,0,0,0,0,0,0,0,16.5,280.5
16,Tua Tagovailoa,MIA,QB,17,4108.6,26.8,11.4,182.8,2.9,0,0,0,0,0,0,0,16.4,278.6
17,Baker Mayfield,CLE,QB,17,4142.5,28.8,10.7,172.3,1.3,0,0,0,0,0,0,0,16.4,278.5
18,Kirk Cousins,MIN,QB,17,4278.2,28.5,11.6,121.9,0.9,0,0,0,0,0,0,0,16.1,273.5
19,Ryan Fitzpatrick,WAS,QB,17,4191,25.6,16.4,246.2,2.7,0,0,0,0,0,0,0,16,272.7
20,Derek Carr,LV,QB,17,4325.6,25.7,10.5,127.3,1.9,0,0,0,0,0,0,0,16,272.1
21,Daniel Jones,NYG,QB,17,3920.4,22.9,15,417.9,2.2,0,0,0,0,0,0,0,15.6,265
22,Ben Roethlisberger,PIT,QB,17,4176.5,30.4,12,27.7,0.3,0,0,0,0,0,0,0,15.6,264.4
23,Jameis Winston,NO,QB,17,4168.5,25.1,16,214.7,1.7,0,0,0,0,0,0,0,15.3,259.6
24,Zach Wilson,NYJ,QB,17,3955.5,22.5,12.5,260,2.3,0,0,0,0,0,0,0,15.1,256.4
25,Sam Darnold,CAR,QB,17,4214.6,22.7,16.3,217.4,2.5,0,0,0,0,0,0,0,15.1,256.1
26,Mac Jones,NE,QB,17,4087.5,24.4,13.1,154.1,1.3,0,0,0,0,0,0,0,14.8,251.9
27,Justin Fields,CHI,QB,17,3467.8,20.7,12.5,399.1,3.4,0,0,0,0,0,0,0,14.7,250.4
28,Trey Lance,SF,QB,17,3232.4,19.9,10.5,424.8,4,0,0,0,0,0,0,0,14.6,248.8
29,Carson Wentz,IND,QB,17,3832.3,24,14.1,208.8,2.3,0,0,0,0,0,0,0,14.6,247.6
30,Jared Goff,DET,QB,17,4231.6,22.6,14,80.8,1.7,0,0,0,0,0,0,0,14.3,243.5
31,Teddy Bridgewater,DEN,QB,17,3484.1,19,11.3,211.4,2.8,0,0,0,0,0,0,0,13.3,226.1
32,Tyrod Taylor,HOU,QB,17,2425.8,11.7,6.1,273.9,2.3,0,0,0,0,0,0,0,9.9,168.6
33,Deshaun Watson,HOU,QB,17,2048.7,12.8,5.5,174.8,1.5,0,0,0,0,0,0,0,8.6,146.2
34,Taysom Hill,NO,QB,17,691.7,4.4,2.1,301.1,4,0,0,0,0,0,0,0,5.5,92.8
35,Jimmy Garoppolo,SF,QB,17,1303.4,8.3,4.3,23.7,0.3,0,0,0,0,0,0,0,4.7,79.3
36,Davis Mills,HOU,QB,17,1365.5,6.2,4.1,53.7,0.5,0,0,0,0,0,0,0,4.5,76.2
37,Drew Lock,DEN,QB,17,1120.3,6.3,4,51.9,0.8,0,0,0,0,0,0,0,4.2,70.6
38,Andy Dalton,CHI,QB,17,1117,6.9,4.2,51.7,0.4,0,0,0,0,0,0,0,4.1,70.2
39,Jordan Love,GB,QB,17,758.4,4.5,3.1,12.1,0.1,0,0,0,0,0,0,0,2.6,43.5
