NAME,TEAM,BYE,AGE,POS,POS RANK,ADP
Aaron Jones,GB,14,29,RB,RB10,15.3
Saquon Barkley,NYG,9,27,RB,RB11,16
Nick Chubb,CLE,9,28,RB,RB12,18.5
Javonte Williams,DEN,9,24,RB,RB13,19.8
Leonard Fournette,TB,11,29,RB,RB14,21.8
Ezekiel Elliott,DAL,9,28,RB,RB15,27.3
James Conner,ARI,13,29,RB,RB16,27.9
Cam Akers,LAR,7,25,RB,RB17,33.2
Travis Etienne Jr.,JAX,11,25,RB,RB18,34.1
David Montgomery,CHI,14,27,RB,RB19,39.3
J.K. Dobbins,BAL,10,25,RB,RB20,39.4
Elijah Mitchell,SF,9,26,RB,RB21,42.3
Breece Hall,NYJ,10,23,RB,RB22,44.2
Josh Jacobs,LV,6,26,RB,RB23,47.3
AJ Dillon,GB,14,26,RB,RB24,48.4
Clyde Edwards-Helaire,KC,8,25,RB,RB25,54.1
Damien Harris,NE,10,27,RB,RB26,59.4
Miles Sanders,PHI,7,27,RB,RB27,61.5
Rashaad Penny,SEA,11,28,RB,RB28,63
Kareem Hunt,CLE,9,28,RB,RB29,69.2
Tony Pollard,DAL,9,27,RB,RB30,69.9
Chase Edmonds,MIA,11,28,RB,RB31,70.1
Dameon Pierce,HOU,6,24,RB,RB32,71
Devin Singletary,BUF,7,26,RB,RB33,71.7
Rhamondre Stevenson,NE,10,26,RB,RB34,77.1
Melvin Gordon III,DEN,9,31,RB,RB35,84.4
James Cook,BUF,7,24,RB,RB36,91.3
Cordarrelle Patterson,ATL,14,33,RB,RB37,91.8
Nyheim Hines,IND,14,27,RB,RB38,94.4
Kenneth Walker III,SEA,11,23,RB,RB39,95.9
James Robinson,JAX,11,25,RB,RB40,98.5
Raheem Mostert,MIA,11,32,RB,RB41,101.9
Kenneth Gainwell,PHI,7,25,RB,RB42,106.5
Tyler Allgeier,ATL,14,24,RB,RB43,106.7
J.D. McKissic,WAS,14,30,RB,RB44,108.6
Brian Robinson Jr.,WAS,14,25,RB,RB45,109.9
Michael Carter,NYJ,10,25,RB,RB46,111.6
Darrell Henderson Jr.,LAR,7,26,RB,RB47,113.6
Antonio Gibson,WAS,14,26,RB,RB48,114.9
Isiah Pacheco,KC,8,25,RB,RB49,118.5
Jamaal Williams,DET,6,29,RB,RB50,120.5
Rachaad White,TB,11,25,RB,RB51,122.7
Chuba Hubbard,CAR,13,25,RB,RB52,125
Alexander Mattison,MIN,7,26,RB,RB53,128.9
Zamir White,LV,6,24,RB,RB54,130.2
D'Onta Foreman,CAR,13,28,RB,RB55,149
Khalil Herbert,CHI,14,26,RB,RB56,183
Mark Ingram II,NO,14,34,RB,RB57,188
Rex Burkhead,HOU,6,34,RB,RB58,193
Damien Williams,ATL,14,32,RB,RB59,202
Samaje Perine,CIN,10,28,RB,RB60,203
Darrel Williams,ARI,13,29,RB,RB61,208
Dontrell Hilliard,TEN,6,29,RB,RB62,209
Jerick McKinnon,KC,8,32,RB,RB63,210
Isaiah Spiller,LAC,8,22,RB,RB64,213
Ameer Abdullah,LV,6,31,RB,RB65,214
Boston Scott,PHI,7,29,RB,RB66,216
Eno Benjamin,ARI,13,25,RB,RB67,224
Kenyan Drake,BAL,10,30,RB,RB68,226
Gus Edwards,BAL,10,29,RB,RB69,229
Sony Michel,LAC,8,29,RB,RB70,230
Jeff Wilson Jr.,SF,9,28,RB,RB71,233
Matt Breida,NYG,9,29,RB,RB72,234
Phillip Lindsay,IND,14,29,RB,RB73,240
Mike Davis,BAL,10,31,RB,RB74,241
Chris Evans,CIN,10,26,RB,RB75,242
Ronald Jones,KC,8,26,RB,RB76,248
Hassan Haskins,TEN,6,24,RB,RB77,249
Travis Homer,SEA,11,25,RB,RB78,251
Kyle Juszczyk,SF,9,33,FB,RB79,252
Brandon Bolden,LV,6,34,RB,RB80,254
Craig Reynolds,DET,6,28,RB,RB81,256
Zack Moss,BUF,7,26,RB,RB82,257
Kyren Williams,LAR,7,23,RB,RB83,263
Ke'Shawn Vaughn,TB,11,27,RB,RB84,264
D'Ernest Johnson,CLE,9,28,RB,RB85,267
Tyrion Davis-Price,SF,9,23,RB,RB86,270
Demetric Felton,CLE,9,25,RB,RB87,271
Myles Gaskin,MIA,11,27,RB,RB88,273
Justin Jackson,DET,6,28,RB,RB89,274
Joshua Kelley,LAC,8,26,RB,RB90,280
Pierre Strong Jr.,NE,10,25,RB,RB91,281
Jaylen Warren,PIT,9,25,RB,RB92,283
Tyler Goodson,GB,14,23,RB,RB93,285
Trey Sermon,PHI,7,25,RB,RB94,286
Dare Ogunbowale,HOU,6,30,RB,RB95,287
Giovani Bernard,TB,11,32,RB,RB96,288
Zander Horvath,LAC,8,25,FB,RB97,289
Benny Snell Jr.,PIT,9,26,RB,RB98,291
Keaontay Ingram,ARI,13,24,RB,RB99,294
Trestan Ebner,CHI,14,25,RB,RB100,295
Justin Jefferson,MIN,7,25,WR,WR1,4.9
Cooper Kupp,LAR,7,31,WR,WR2,5.8
Ja'Marr Chase,CIN,10,24,WR,WR3,8.8
Davante Adams,LV,6,31,WR,WR4,12.4
Stefon Diggs,BUF,7,30,WR,WR5,14
CeeDee Lamb,DAL,9,25,WR,WR6,17.9
Deebo Samuel Sr.,SF,9,28,WR,WR7,19.6
Tyreek Hill,MIA,11,30,WR,WR8,22.7
Michael Pittman Jr.,IND,14,26,WR,WR9,24.7
Mike Evans,TB,11,30,WR,WR10,26.1
Keenan Allen,LAC,8,32,WR,WR11,29.3
A.J. Brown,PHI,7,27,WR,WR12,30.5
Tee Higgins,CIN,10,25,WR,WR13,32.4
DJ Moore,CAR,13,27,WR,WR14,36.1
Terry McLaurin,WAS,14,28,WR,WR15,38
Mike Williams,LAC,8,29,WR,WR16,39.7
Diontae Johnson,PIT,9,28,WR,WR17,43.5
Courtland Sutton,DEN,9,28,WR,WR18,45.1
Jaylen Waddle,MIA,11,25,WR,WR19,46.5
DK Metcalf,SEA,11,26,WR,WR20,50.9
Michael Thomas,NO,14,31,WR,WR21,52.2
Allen Robinson II,LAR,7,30,WR,WR22,53.9
Chris Godwin,TB,11,28,WR,WR23,56.7
Brandin Cooks,HOU,6,30,WR,WR24,57.9
Jerry Jeudy,DEN,9,25,WR,WR25,61.2
Gabe Davis,BUF,7,25,WR,WR26,63.8
Adam Thielen,MIN,7,33,WR,WR27,63.9
Marquise Brown,ARI,13,27,WR,WR28,68
Darnell Mooney,CHI,14,26,WR,WR29,68.1
Hunter Renfrow,LV,6,28,WR,WR30,71.4
Amon-Ra St. Brown,DET,6,24,WR,WR31,72.9
JuJu Smith-Schuster,KC,8,27,WR,WR32,75.4
Rashod Bateman,BAL,10,24,WR,WR33,82.3
Amari Cooper,CLE,9,30,WR,WR34,83.8
DeVonta Smith,PHI,7,25,WR,WR35,85
Elijah Moore,NYJ,10,24,WR,WR36,87.9
Brandon Aiyuk,SF,9,26,WR,WR38,90.2
DeAndre Hopkins,ARI,13,32,WR,WR37,90.2
Allen Lazard,GB,14,28,WR,WR39,90.7
Christian Kirk,JAX,11,27,WR,WR40,96.2
Robert Woods,TEN,6,32,WR,WR41,102.7
Drake London,ATL,14,22,WR,WR42,103.6
Kadarius Toney,NYG,9,25,WR,WR43,105.4
Chris Olave,NO,14,24,WR,WR44,109.7
Tyler Lockett,SEA,11,31,WR,WR45,110.6
Skyy Moore,KC,8,23,WR,WR46,117.7
Michael Gallup,DAL,9,28,WR,WR47,119
Julio Jones,TB,11,35,WR,WR48,121
Tyler Boyd,CIN,10,29,WR,WR49,121.3
George Pickens,PIT,9,23,WR,WR50,124.2
Marquez Valdes-Scantling,KC,8,29,WR,WR51,130.2
Treylon Burks,TEN,6,24,WR,WR52,130.3
Chase Claypool,PIT,9,26,WR,WR53,131.2
DeVante Parker,NE,10,31,WR,WR54,135.1
Romeo Doubs,GB,14,24,WR,WR55,136.3
Rondale Moore,ARI,13,24,WR,WR56,144.8
Jakobi Meyers,NE,10,27,WR,WR57,149.4
Jahan Dotson,WAS,14,24,WR,WR58,151.4
Isaiah McKenzie,BUF,7,29,WR,WR59,152.6
Garrett Wilson,NYJ,10,23,WR,WR60,153.8
Russell Gage,TB,11,28,WR,WR61,155.7
Nico Collins,HOU,6,25,WR,WR62,158
Marvin Jones Jr.,JAX,11,34,WR,WR63,162
Kenny Golladay,NYG,9,30,WR,WR64,163
DJ Chark,DET,6,27,WR,WR65,164
Jarvis Landry,NO,14,31,WR,WR66,165
Robbie Chosen,CAR,13,31,WR,WR67,166
K.J. Osborn,MIN,7,27,WR,WR68,167
Mecole Hardman Jr.,KC,8,26,WR,WR69,168
Jalen Tolbert,DAL,9,25,WR,WR70,169
Joshua Palmer,LAC,8,24,WR,WR71,170
Corey Davis,NYJ,10,29,WR,WR72,171
Sterling Shepard,NYG,9,31,WR,WR73,172
Donovan Peoples-Jones,CLE,9,25,WR,WR74,173
Van Jefferson,LAR,7,27,WR,WR75,174
KJ Hamler,DEN,9,25,WR,WR76,175
Wan'Dale Robinson,NYG,9,23,WR,WR77,176
Alec Pierce,IND,14,24,WR,WR78,177
Curtis Samuel,WAS,14,27,WR,WR79,178
Zay Jones,JAX,11,29,WR,WR80,179
Cedrick Wilson Jr.,MIA,11,28,WR,WR81,180
Nick Westbrook-Ikhine,TEN,6,27,WR,WR82,181
Parris Campbell,IND,14,26,WR,WR83,182
Kendrick Bourne,NE,10,28,WR,WR84,184
Randall Cobb,GB,14,33,WR,WR85,185
Devin Duvernay,BAL,10,26,WR,WR86,186
Bryan Edwards,ATL,14,25,WR,WR87,187
Christian Watson,GB,14,25,WR,WR88,189
Jamison Crowder,BUF,7,31,WR,WR89,190
Braxton Berrios,NYJ,10,28,WR,WR90,191
A.J. Green,ARI,13,35,WR,WR91,192
David Bell,CLE,9,23,WR,WR92,194
Sammy Watkins,GB,14,31,WR,WR93,195
Jameson Williams,DET,6,23,WR,WR94,196
Byron Pringle,CHI,14,30,WR,WR95,197
Laviska Shenault Jr.,CAR,13,25,WR,WR96,198
Nelson Agholor,NE,10,31,WR,WR97,199
Quez Watkins,PHI,7,26,WR,WR98,200
Olamide Zaccheaus,ATL,14,26,WR,WR99,201
Velus Jones Jr.,CHI,14,27,WR,WR100,204
Travis Kelce,KC,8,34,TE,TE1,16.6
Mark Andrews,BAL,10,28,TE,TE2,25.9
Kyle Pitts,ATL,14,23,TE,TE3,31.6
George Kittle,SF,9,30,TE,TE4,43.2
Darren Waller,LV,6,31,TE,TE5,50.2
Dalton Schultz,DAL,9,28,TE,TE6,62.9
Dallas Goedert,PHI,7,29,TE,TE7,75.3
Zach Ertz,ARI,13,33,TE,TE8,89.5
Pat Freiermuth,PIT,9,25,TE,TE9,98.7
Cole Kmet,CHI,14,25,TE,TE10,103.7
Mike Gesicki,MIA,11,28,TE,TE11,113.1
Dawson Knox,BUF,7,27,TE,TE12,113.9
T.J. Hockenson,DET,6,27,TE,TE13,119.6
Hunter Henry,NE,10,29,TE,TE14,136.1
Robert Tonyan,GB,14,30,TE,TE15,145.3
Irv Smith,MIN,7,25,TE,TE16,147
David Njoku,CLE,9,28,TE,TE17,152.5
Albert Okwuegbunam Jr.,DEN,9,26,TE,TE18,154.9
Tyler Higbee,LAR,7,31,TE,TE19,305
Noah Fant,SEA,11,26,TE,TE20,307
Gerald Everett,LAC,8,30,TE,TE21,310
Evan Engram,JAX,11,29,TE,TE22,312
Austin Hooper,TEN,6,29,TE,TE23,316
Hayden Hurst,CIN,10,30,TE,TE24,329
Logan Thomas,WAS,14,33,TE,TE25,337
Brevin Jordan,HOU,6,23,TE,TE26,339
Mo Alie-Cox,IND,14,30,TE,TE27,346
Cameron Brate,TB,11,33,TE,TE28,356
Tyler Conklin,NYJ,10,28,TE,TE29,363
Isaiah Likely,BAL,10,24,TE,TE30,365
Daniel Bellinger,NYG,9,23,TE,TE31,374
Harrison Bryant,CLE,9,26,TE,TE32,379
Jonnu Smith,NE,10,28,TE,TE33,382
C.J. Uzomah,NYJ,10,31,TE,TE34,383
Kyle Rudolph,TB,11,34,TE,TE35,386
Taysom Hill,NO,14,33,TE,TE36,387
Tommy Tremble,CAR,13,24,TE,TE37,392
Dan Arnold,JAX,11,29,TE,TE38,395
Foster Moreau,LV,6,27,TE,TE39,399
Trey McBride,ARI,13,24,TE,TE40,402
Adam Trautman,NO,14,27,TE,TE41,403
Donald Parham Jr.,LAC,8,26,TE,TE42,404
Jordan Akins,HOU,6,32,TE,TE43,405
Jelani Woods,IND,14,25,TE,TE44,407
Geoff Swaim,TEN,6,30,TE,TE45,408
Will Dissly,SEA,11,28,TE,TE46,414
Pharaoh Brown,HOU,6,30,TE,TE47,417
O.J. Howard,HOU,6,29,TE,TE48,418
Durham Smythe,MIA,11,28,TE,TE49,420
Ian Thomas,CAR,13,28,TE,TE50,
