NAME,TEAM,BYE,AGE,POS,POS RANK,ADP
Josh Allen,BUF,7,28,QB,QB1,19.1
Justin Herbert,LAC,8,26,QB,QB2,33.2
Patrick Mahomes,KC,8,28,QB,QB3,39.1
Joe Burrow,CIN,10,27,QB,QB4,46.8
Lamar Jackson,BAL,10,27,QB,QB5,51.5
Jalen Hurts,PHI,7,25,QB,QB6,56
Kyler Murray,ARI,13,26,QB,QB7,62.1
Russell Wilson,DEN,9,35,QB,QB8,72
Aaron Rodgers,GB,14,40,QB,QB9,77.9
Dak Prescott,DAL,9,30,QB,QB10,84.8
Tom Brady,TB,11,46,QB,QB11,86.7
Matthew Stafford,LAR,7,36,QB,QB12,91.7
Trey Lance,SF,9,24,QB,QB13,99.1
Derek Carr,LV,6,33,QB,QB14,102.6
Kirk Cousins,MIN,7,35,QB,QB15,107.8
Tua Tagovailoa,MIA,11,26,QB,QB16,121.2
Matt Ryan,IND,14,39,QB,QB17,132
Justin Fields,CHI,14,25,QB,QB18,141.8
Trevor Lawrence,JAX,11,24,QB,QB19,142.7
Jameis Winston,NO,14,30,QB,QB20,148.1
Ryan Tannehill,TEN,6,35,QB,QB21,215
Daniel Jones,NYG,9,27,QB,QB22,220
Mac Jones,NE,10,25,QB,QB23,222
Carson Wentz,WAS,14,31,QB,QB24,225
Jared Goff,DET,6,29,QB,QB25,227
Baker Mayfield,CAR,13,29,QB,QB26,232
Zach Wilson,NYJ,10,24,QB,QB27,235
Davis Mills,HOU,6,25,QB,QB28,239
Marcus Mariota,ATL,14,30,QB,QB29,245
Geno Smith,SEA,11,33,QB,QB30,255
Mitchell Trubisky,PIT,9,29,QB,QB31,259
Jacoby Brissett,CLE,9,31,QB,QB32,266
Deshaun Watson,CLE,9,28,QB,QB33,297
Kenny Pickett,PIT,9,26,QB,QB34,309
Drew Lock,SEA,11,27,QB,QB35,394
Desmond Ridder,ATL,14,24,QB,QB36,397
Jimmy Garoppolo,SF,9,32,QB,QB37,435
Joe Flacco,NYJ,10,39,QB,QB38,456
Tyrod Taylor,NYG,9,34,QB,QB39,468
Andy Dalton,NO,14,36,QB,QB40,477
Tyler Huntley,BAL,10,26,QB,QB41,486
Gardner Minshew II,PHI,7,28,QB,QB42,508
Taylor Heinicke,WAS,14,31,QB,QB43,509
Malik Willis,TEN,6,25,QB,QB44,510
Teddy Bridgewater,MIA,11,31,QB,QB45,513
Case Keenum,BUF,7,36,QB,QB46,514
Blaine Gabbert,TB,11,34,QB,QB47,523
Brett Rypien,DEN,9,28,QB,QB48,527
Chase Daniel,LAC,8,37,QB,QB49,528
Chad Henne,KC,8,39,QB,QB50,530
Jonathan Taylor,IND,14,25,RB,RB1,1.4
Christian McCaffrey,CAR,13,28,RB,RB2,2.4
Austin Ekeler,LAC,8,29,RB,RB3,2.7
Derrick Henry,TEN,6,30,RB,RB4,4.2
Najee Harris,PIT,9,26,RB,RB5,7
Dalvin Cook,MIN,7,28,RB,RB6,7.2
Joe Mixon,CIN,10,27,RB,RB7,10
Alvin Kamara,NO,14,28,RB,RB8,10.6
D'Andre Swift,DET,6,25,RB,RB9,13.1
