NAME,TEAM,POS,GP,PASS YDS,PASS TDS,INT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FPTS/G,FPTS
Josh Allen,BUF,QB,17,4306,29,18,524,15,0,0,0,23.1,392.6
Jalen Hurts,PHI,QB,17,3858,23,15,605,15,0,0,0,21,356.8
Dak Prescott,DAL,QB,17,4516,36,9,242,2,0,0,0,20.2,342.8
Lamar Jackson,BAL,QB,16,3678,24,7,821,5,0,0,0,20.7,331.2
Jordan Love,GB,QB,17,4159,32,11,247,4,0,0,0,18.8,319.1
Brock Purdy,SF,QB,16,4280,31,11,144,2,0,0,0,18.5,295.6
Jared Goff,DET,QB,17,4575,30,12,21,2,0,0,0,17,289.1
Patrick Mahomes,KC,QB,16,4183,27,14,389,0,0,0,0,17.5,280.2
C.J. Stroud,HOU,QB,15,4108,23,5,167,3,1,0,0,18.4,276
Baker Mayfield,TB,QB,17,4044,28,10,163,1,0,0,0,16.1,274.1
Tua Tagovailoa,MIA,QB,17,4624,29,14,74,0,0,0,0,15.9,270.4
Trevor Lawrence,JAX,QB,16,4016,21,14,339,4,0,0,0,16.4,262.5
Sam Howell,WAS,QB,17,3946,21,21,263,5,1,4,0,15.1,257.5
Russell Wilson,DEN,QB,15,3070,26,8,341,3,0,0,0,17.1,256.9
Matthew Stafford,LAR,QB,15,3965,24,11,65,0,0,0,0,16.2,243.1
Derek Carr,NO,QB,17,3878,25,8,40,0,0,0,0,14.2,241.1
Justin Herbert,LAC,QB,13,3134,20,7,228,3,1,10,0,18,234.2
Justin Fields,CHI,QB,13,2562,16,9,657,4,0,0,0,17.7,230.2
Geno Smith,SEA,QB,15,3624,20,9,155,1,1,-2,0,15.2,227.3
Joshua Dobbs,MIN,QB,13,2464,13,10,421,6,0,0,0,15.4,200.7
Gardner Minshew II,IND,QB,16,3305,15,9,100,3,0,0,0,12.3,196.2
Desmond Ridder,ATL,QB,15,2836,12,12,193,5,1,-6,0,11.8,177.1
Bryce Young,CAR,QB,16,2877,11,10,253,0,0,0,0,9.8,156.4
Kirk Cousins,MIN,QB,8,2331,18,5,25,0,0,0,0,18.7,149.7
Joe Burrow,CIN,QB,10,2309,15,6,88,0,0,0,0,14.7,147.2
Kyler Murray,ARI,QB,8,1799,10,5,244,3,0,0,0,18.3,146.4
Jake Browning,CIN,QB,9,1936,12,7,127,3,1,-7,0,16,144.4
Taysom Hill,NO,QB,16,83,1,0,401,4,33,291,2,9,143.5
Aidan O'Connell,LV,QB,11,2218,12,7,11,1,0,0,0,11.4,125.8
Zach Wilson,NYJ,QB,12,2271,8,7,211,0,0,0,0,10,119.9
Kenny Pickett,PIT,QB,12,2070,6,4,54,1,0,0,0,9.2,110.2
Mac Jones,NE,QB,11,2120,10,12,96,0,0,0,0,9.7,106.4
Will Levis,TEN,QB,9,1808,8,4,57,1,0,0,0,11.3,102
Joe Flacco,CLE,QB,5,1616,13,8,2,0,0,0,0,20.2,100.8
Tommy Devito,NYG,QB,10,1101,8,3,195,1,0,0,0,9.4,93.5
Tyrod Taylor,NYG,QB,11,1341,5,3,197,0,0,0,0,7.9,87.3
Deshaun Watson,CLE,QB,6,1115,7,4,142,1,0,0,0,14.5,86.8
Ryan Tannehill,TEN,QB,10,1616,4,7,74,1,0,0,0,8,80
Anthony Richardson,IND,QB,4,577,3,1,136,4,0,0,0,18.2,72.7
Bailey Zappe,NE,QB,10,1272,6,9,83,1,0,0,0,6.9,69.2
Easton Stick,LAC,QB,5,1129,3,1,144,1,0,0,0,13.5,67.6
Nick Mullens,MIN,QB,5,1306,7,8,25,0,0,0,0,13.3,66.7
Taylor Heinicke,ATL,QB,5,890,5,4,124,1,0,0,0,13.2,66
Jimmy Garoppolo,LV,QB,7,1205,7,9,39,0,0,0,0,9.2,64.1
Daniel Jones,NYG,QB,6,909,2,6,206,1,0,0,0,9.5,57
Tyson Bagent,CHI,QB,5,859,3,6,109,2,0,0,0,10.7,53.3
Mitchell Trubisky,PIT,QB,5,632,4,5,54,2,0,0,0,9.7,48.7
