Player,Team,Pos,GP,PassingYds,PassingTD,Int,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FPTS/G,FPTS
Cade Otton,TB,TE,17,0,0,0,0,0,42.4,426.4,3.3,6.1,911.3
Noah Fant,SEA,TE,17,0,0,0,0,0,42,456.2,2.7,6.1,910.3
Ben Sinnott,WAS,TE,17,0,0,0,0.8,0,37.4,403.5,2.9,5.6,901.7
Jonnu Smith,MIA,TE,17,0,0,0,0.3,0,36.3,419.6,2.5,5.5,899.7
Isaiah Likely,BAL,TE,17,0,0,0,0,0,29.8,362.7,4,5.3,896.5
Mike Gesicki,CIN,TE,17,0,0,0,0,0,34.4,362.4,3.1,5.2,895.7
Michael Mayer,LV,TE,17,0,0,0,0,0,31.7,359,2.3,4.8,887.8
Tucker Kraft,GB,TE,17,0,0,0,0,0,32.7,342.6,2.4,4.8,887.8
Dawson Knox,BUF,TE,17,0,0,0,0,0,27.8,289.5,3.4,4.5,883.6
Ja'Tavion Sanders,CAR,TE,17,0,0,0,0,0,31.2,325.4,2.2,4.5,883.4
Greg Dulcich,DEN,TE,17,0,0,0,0,0,30.1,346.4,1.9,4.5,882.6
Hayden Hurst,LAC,TE,17,0,0,0,0,0,31,296.4,2.2,4.3,880.3
Zach Ertz,WAS,TE,17,0,0,0,0,0,31,283.3,2.3,4.3,879.6
Daniel Bellinger,NYG,TE,17,0,0,0,0,0,31.9,312.3,1.5,4.2,878.6
Tyler Higbee,LAR,TE,17,0,0,0,0,0,30.2,301.3,1.8,4.2,877.6
Colby Parkinson,LAR,TE,17,0,0,0,0,0,28.2,290.1,2.2,4.1,876.9
Jelani Woods,IND,TE,17,0,0,0,0,0,25.4,313.7,2,4,875.2
Gerald Everett,CHI,TE,17,0,0,0,0,0,28.4,266.9,2.1,4,874.1
Theo Johnson,NYG,TE,17,0,0,0,0,0,27.2,281.7,1.6,3.8,871.4
Donald Parham Jr.,LAC,TE,17,0,0,0,0,0,20.6,222.6,3.1,3.6,867.9
Noah Gray,KC,TE,17,0,0,0,0,0,23.9,257.4,1.7,3.5,866.3
Will Dissly,LAC,TE,17,0,0,0,0,0,22.7,227.4,1.7,3.3,862.1
Tanner Hudson,CIN,TE,17,0,0,0,0,0,23.1,222.1,1.6,3.2,861.4
Tommy Tremble,CAR,TE,17,0,0,0,0,0,20.2,188.2,2.2,3.1,858.7
Kylen Granson,IND,TE,17,0,0,0,0,0,19.4,231.5,1.3,3,856.8
Josh Oliver,MIN,TE,17,0,0,0,0,0,20,194.8,1.5,2.8,854.9
Elijah Higgins,ARI,TE,17,0,0,0,0,0,19.4,212.1,1.2,2.8,854.2
Adam Trautman,DEN,TE,17,0,0,0,0,0,18.9,181.1,1.7,2.8,853.6
Brevin Jordan,HOU,TE,17,0,0,0,0,0,15.8,197.9,1.9,2.8,853.4
