Player,Team,Pos,GP,PassingYds,PassingTD,Int,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FPTS/G,FPTS
D'Onta Foreman,CLE,RB,17,0,0,0,382.3,3,9.9,76.5,0.6,4.5,892.3
Jaylen Wright,MIA,RB,17,0,0,0,336.9,2.7,12.7,107.7,0.6,4.4,891.9
Elijah Mitchell,SF,RB,17,0,0,0,399.8,3,10,63.4,0.2,4.4,890.4
Justice Hill,BAL,RB,17,0,0,0,280.4,1.9,18.6,137.5,0.4,4.2,889.1
Kimani Vidal,LAC,RB,17,0,0,0,344.1,2.2,14,103.1,0.3,4.3,888.6
Braelon Allen,NYJ,RB,17,0,0,0,350.7,2.5,11,82.8,0.4,4.1,886.7
Miles Sanders,CAR,RB,17,0,0,0,316.3,1.7,17.2,108.3,0.2,4.1,886
Jamaal Williams,NO,RB,17,0,0,0,318.2,2.2,15,78.3,0.2,4,884
Keaton Mitchell,BAL,RB,17,0,0,0,312.6,2.2,10.1,85.3,0.4,3.8,880.4
Dameon Pierce,HOU,RB,17,0,0,0,334.2,2.2,9.4,66.1,0.2,3.7,878.7
AJ Dillon,GB,RB,17,0,0,0,269.3,1.9,11.2,92,0.1,3.5,874.2
Tank Bigsby,JAX,RB,17,0,0,0,272.6,2.8,6.9,46.1,0.1,3,871.1
Chase Edmonds,TB,RB,17,0,0,0,203.2,1.2,15.3,108,0.2,3.2,869.7
Evan Hull,IND,RB,17,0,0,0,199.7,1.2,11.6,85.9,0.5,2.9,865.3
Emari Demercado,ARI,RB,17,0,0,0,158.8,1,15.4,102.4,0.3,2.9,864.2
Audric Estimé,DEN,RB,17,0,0,0,242,1.5,7.9,58.2,0.4,2.8,864.2
Eric Gray,NYG,RB,17,0,0,0,193.1,1.4,12,82.8,0.2,2.9,864.1
Ty Johnson,BUF,RB,17,0,0,0,165.2,1,11.6,100.6,0.6,2.8,862.7
Deuce Vaughn,DAL,RB,17,0,0,0,150.1,1,12.4,94.8,0.5,2.6,860.8
Will Shipley,PHI,RB,17,0,0,0,186.4,1.3,8.7,65.8,0.4,2.6,859
Chris Rodriguez Jr.,WAS,RB,17,0,0,0,205.7,1.5,7.8,54.5,0.1,2.5,858.3
