NAME,TEAM,BYE,AGE,POS,POS RANK,ADP
A.J. Brown,TEN,7,27,WR,WR18,44.4
DK Metcalf,SEA,5,26,WR,WR19,45.3
DJ Chark,JAX,9,27,WR,WR20,47.5
Tyler Lockett,SEA,5,31,WR,WR21,49.9
Terry McLaurin,WAS,14,28,WR,WR22,50.8
Keenan Allen,LAC,5,32,WR,WR23,53.5
T.Y. Hilton,IND,11,34,WR,WR24,57.5
Courtland Sutton,DEN,9,28,WR,WR25,58.1
Marquise Brown,BAL,13,27,WR,WR26,60
Stefon Diggs,BUF,13,30,WR,WR27,65
DeVante Parker,MIA,10,31,WR,WR28,66.7
A.J. Green,CIN,7,35,WR,WR29,69.8
William Fuller V,HOU,7,30,WR,WR30,70.5
Michael Gallup,DAL,7,28,WR,WR31,72.2
Julian Edelman,NE,11,38,WR,WR32,77.2
Tyler Boyd,CIN,7,29,WR,WR33,78.5
Brandin Cooks,HOU,7,30,WR,WR34,81.5
Jarvis Landry,CLE,5,31,WR,WR35,85.5
Deebo Samuel Sr.,SF,9,28,WR,WR36,89.1
Diontae Johnson,PIT,6,28,WR,WR37,89.4
CeeDee Lamb,DAL,7,25,WR,WR38,93.2
Marvin Jones Jr.,DET,9,34,WR,WR39,95.1
Emmanuel Sanders,NO,11,37,WR,WR40,100
Jamison Crowder,NYJ,7,31,WR,WR41,102.6
Henry Ruggs III,LV,13,25,WR,WR42,104.5
Mecole Hardman Jr.,KC,10,26,WR,WR43,106.1
Jalen Reagor,PHI,10,25,WR,WR44,109.5
Jerry Jeudy,DEN,9,25,WR,WR45,112.3
Darius Slayton,NYG,13,27,WR,WR46,113.2
Christian Kirk,ARI,14,27,WR,WR47,116.9
Sterling Shepard,NYG,13,31,WR,WR48,118.9
Justin Jefferson,MIN,13,25,WR,WR49,121.5
Anthony Miller,CHI,13,29,WR,WR50,126.9
DeSean Jackson,PHI,10,37,WR,WR51,127.1
Preston Williams,MIA,10,27,WR,WR52,130.9
Allen Lazard,GB,6,28,WR,WR53,131
Brandon Aiyuk,SF,9,26,WR,WR54,135.9
Sammy Watkins,KC,10,31,WR,WR55,140.5
Golden Tate,NYG,13,35,WR,WR56,145.3
John Brown,BUF,13,34,WR,WR57,149.1
Michael Pittman Jr.,IND,11,26,WR,WR58,151.7
Breshad Perriman,NYJ,7,30,WR,WR59,153
Parris Campbell,IND,11,26,WR,WR60,158.4
N'Keal Harry,NE,11,26,WR,WR61,159
Mike Williams,LAC,5,29,WR,WR62,161.9
Larry Fitzgerald,ARI,14,40,WR,WR63,162.8
Robbie Chosen,CAR,7,31,WR,WR64,163.9
Curtis Samuel,CAR,7,27,WR,WR65,163.9
Bryan Edwards,LV,13,25,WR,WR66,164.2
Dede Westbrook,JAX,9,30,WR,WR67,175
Hunter Renfrow,LV,13,28,WR,WR68,176
Cole Beasley,BUF,13,35,WR,WR69,177
Tyrell Williams,LV,13,32,WR,WR70,178
James Washington,PIT,6,28,WR,WR71,179
Randall Cobb,HOU,7,33,WR,WR72,180
Danny Amendola,DET,9,38,WR,WR73,181
Corey Davis,TEN,7,29,WR,WR74,182
Chris Conley,JAX,9,31,WR,WR75,183
Josh Reynolds,LAR,10,29,WR,WR76,184
Denzel Mims,NYJ,7,26,WR,WR77,185
Steven Sims,WAS,14,27,WR,WR78,186
Russell Gage,ATL,11,28,WR,WR79,188
Adam Humphries,TEN,7,31,WR,WR80,190
Marquez Valdes-Scantling,GB,6,29,WR,WR81,191
Alshon Jeffery,PHI,10,34,WR,WR82,192
Trent Taylor,SF,9,30,WR,WR83,194
Tee Higgins,CIN,7,25,WR,WR84,196
Phillip Dorsett,SEA,5,31,WR,WR85,197
KJ Hamler,DEN,9,25,WR,WR86,198
Miles Boykin,BAL,13,27,WR,WR87,199
Jakeem Grant Sr.,MIA,10,31,WR,WR88,200
John Ross,CIN,7,28,WR,WR89,202
Ted Ginn Jr.,CHI,13,39,WR,WR90,204
Damiere Byrd,NE,11,31,WR,WR91,205
Dontrelle Inman,WAS,14,35,WR,WR92,206
Antonio Gandy-Golden,WAS,14,26,WR,WR93,207
Willie Snead IV,BAL,13,31,WR,WR94,210
Kendrick Bourne,SF,9,28,WR,WR95,212
Tre'Quan Smith,NO,11,28,WR,WR96,213
Josh Gordon,SEA,5,33,WR,WR97,214
Laviska Shenault Jr.,JAX,9,25,WR,WR98,216
Chase Claypool,PIT,6,26,WR,WR99,217
Equanimeous St. Brown,GB,6,27,WR,WR100,218
Travis Kelce,KC,10,34,TE,TE1,19.9
George Kittle,SF,9,30,TE,TE2,24.4
Mark Andrews,BAL,13,28,TE,TE3,42.4
Zach Ertz,PHI,10,33,TE,TE4,50.6
Darren Waller,LV,13,31,TE,TE5,61.6
Rob Gronkowski,TB,5,35,TE,TE6,70.4
Evan Engram,NYG,13,29,TE,TE7,74.8
Hayden Hurst,ATL,11,30,TE,TE8,79.4
Tyler Higbee,LAR,10,31,TE,TE9,89.7
Hunter Henry,LAC,5,29,TE,TE10,98
Jared Cook,NO,11,37,TE,TE11,115.2
Noah Fant,DEN,9,26,TE,TE12,119.6
Austin Hooper,CLE,5,29,TE,TE13,136.7
T.J. Hockenson,DET,9,27,TE,TE14,143.1
Mike Gesicki,MIA,10,28,TE,TE15,146.5
Jonnu Smith,TEN,7,28,TE,TE16,153.6
Jack Doyle,IND,11,34,TE,TE17,153.7
Chris Herndon,NYJ,7,28,TE,TE18,153.9
Blake Jarwin,DAL,7,29,TE,TE19,154.4
Dallas Goedert,PHI,10,29,TE,TE20,270
Eric Ebron,PIT,6,31,TE,TE21,298
Greg Olsen,SEA,5,39,TE,TE22,305
Jimmy Graham,CHI,13,37,TE,TE23,306
Irv Smith,MIN,13,25,TE,TE24,308
Jace Sternberger,GB,6,28,TE,TE25,311
Ian Thomas,CAR,7,28,TE,TE26,315
Gerald Everett,LAR,10,30,TE,TE27,316
Dawson Knox,BUF,13,27,TE,TE28,329
Kyle Rudolph,MIN,13,34,TE,TE29,333
Devin Asiasi,NE,11,26,TE,TE30,335
Darren Fells,HOU,7,38,TE,TE31,338
Tyler Eifert,JAX,9,33,TE,TE32,343
Nick Boyle,BAL,13,31,TE,TE33,353
Cole Kmet,CHI,13,25,TE,TE34,356
Trey Burton,IND,11,32,TE,TE35,357
Thaddeus Moss,WAS,14,26,TE,TE36,360
Logan Thomas,WAS,14,33,TE,TE37,361
C.J. Uzomah,CIN,7,31,TE,TE38,367
Dan Arnold,ARI,14,29,TE,TE39,368
Dalton Keene,NE,11,25,TE,TE40,369
Jason Witten,LV,13,42,TE,TE41,372
David Njoku,CLE,5,28,TE,TE42,377
James O'Shaughnessy,JAX,9,32,TE,TE43,379
Jordan Reed,SF,9,34,TE,TE44,383
Jeremy Sprinkle,WAS,14,29,TE,TE45,384
Cameron Brate,TB,5,33,TE,TE46,387
O.J. Howard,TB,5,29,TE,TE47,390
Jacob Hollister,SEA,5,30,TE,TE48,391
Vance McDonald,PIT,6,34,TE,TE49,393
Anthony Firkser,TEN,7,29,TE,TE50,396
