NAME,TEAM,BYE,AGE,POS,POS RANK,ADP
Patrick Mahomes,KC,10,28,QB,QB1,18.7
Lamar Jackson,BAL,13,27,QB,QB2,22.7
Dak Prescott,DAL,7,30,QB,QB3,54.7
Russell Wilson,SEA,5,35,QB,QB4,62
Kyler Murray,ARI,14,26,QB,QB5,62.6
Deshaun Watson,HOU,7,28,QB,QB6,69.3
Drew Brees,NO,11,45,QB,QB7,80.1
Matt Ryan,ATL,11,39,QB,QB8,84.8
Tom Brady,TB,5,46,QB,QB9,88
Aaron Rodgers,GB,6,40,QB,QB10,94.3
Josh Allen,BUF,13,28,QB,QB11,101.5
Carson Wentz,PHI,10,31,QB,QB12,107.9
Matthew Stafford,DET,9,36,QB,QB13,111.3
Cam Newton,NE,11,35,QB,QB14,120.7
Daniel Jones,NYG,13,27,QB,QB15,125.4
Ben Roethlisberger,PIT,6,42,QB,QB16,129.5
Joe Burrow,CIN,7,27,QB,QB17,135.7
Baker Mayfield,CLE,5,29,QB,QB18,144.7
Jared Goff,LAR,10,29,QB,QB19,147.2
Ryan Tannehill,TEN,7,35,QB,QB20,156.4
Jimmy Garoppolo,SF,9,32,QB,QB21,157.2
Gardner Minshew II,JAX,9,28,QB,QB22,159.2
Philip Rivers,IND,11,42,QB,QB23,159.6
Drew Lock,DEN,9,27,QB,QB24,162.4
Kirk Cousins,MIN,13,35,QB,QB25,209
Derek Carr,LV,13,33,QB,QB26,211
Sam Darnold,NYJ,7,27,QB,QB27,215
Teddy Bridgewater,CAR,7,31,QB,QB28,219
Tua Tagovailoa,MIA,10,26,QB,QB29,229
Tyrod Taylor,LAC,5,34,QB,QB30,231
Dwayne Haskins,WAS,14,27,QB,QB31,244
Nick Foles,CHI,13,35,QB,QB32,254
Mitchell Trubisky,CHI,13,29,QB,QB33,303
Taysom Hill,NO,11,33,QB,QB34,321
Justin Herbert,LAC,5,26,QB,QB35,344
Ryan Fitzpatrick,MIA,10,41,QB,QB36,378
Jarrett Stidham,NE,11,27,QB,QB37,395
Marcus Mariota,LV,13,30,QB,QB38,401
Jameis Winston,NO,11,30,QB,QB39,407
Jalen Hurts,PHI,10,25,QB,QB40,424
PJ Walker,CAR,7,29,QB,QB41,455
John Wolford,LAR,10,28,QB,QB42,456
Kyle Allen,WAS,14,28,QB,QB43,458
Andy Dalton,DAL,7,36,QB,QB44,484
Alex Smith,WAS,14,40,QB,QB45,496
Will Grier,CAR,7,29,QB,QB46,507
Jacoby Brissett,IND,11,31,QB,QB47,513
Case Keenum,CLE,5,36,QB,QB48,525
Logan Woodside,TEN,7,29,QB,QB49,528
Mason Rudolph,PIT,6,28,QB,QB50,529
Christian McCaffrey,CAR,7,28,RB,RB1,1.2
Saquon Barkley,NYG,13,27,RB,RB2,2.5
Ezekiel Elliott,DAL,7,28,RB,RB3,3.4
Alvin Kamara,NO,11,28,RB,RB4,4.9
Dalvin Cook,MIN,13,28,RB,RB5,6.2
Clyde Edwards-Helaire,KC,10,25,RB,RB6,6.2
Derrick Henry,TEN,7,30,RB,RB7,7.4
Josh Jacobs,LV,13,26,RB,RB8,9.1
Austin Ekeler,LAC,5,29,RB,RB9,11.5
Miles Sanders,PHI,10,27,RB,RB10,12
Joe Mixon,CIN,7,27,RB,RB11,13.1
Kenyan Drake,ARI,14,30,RB,RB12,14.8
Nick Chubb,CLE,5,28,RB,RB13,16.3
Aaron Jones,GB,6,29,RB,RB14,17.5
James Conner,PIT,6,29,RB,RB15,22.4
Chris Carson,SEA,5,29,RB,RB16,26.4
David Johnson,HOU,7,32,RB,RB17,28.5
Todd Gurley II,ATL,11,29,RB,RB18,29.1
Jonathan Taylor,IND,11,25,RB,RB19,32.6
Le'Veon Bell,NYJ,7,32,RB,RB20,34.5
Leonard Fournette,TB,5,29,RB,RB21,35.4
Melvin Gordon III,DEN,9,31,RB,RB22,39.4
Mark Ingram II,BAL,13,34,RB,RB23,42.5
Devin Singletary,BUF,13,26,RB,RB24,46.4
Raheem Mostert,SF,9,32,RB,RB25,49.4
Cam Akers,LAR,10,25,RB,RB26,52.8
Kareem Hunt,CLE,5,28,RB,RB27,53.1
Ronald Jones,TB,5,26,RB,RB28,56.5
David Montgomery,CHI,13,27,RB,RB29,59.7
D'Andre Swift,DET,9,25,RB,RB30,61.4
J.K. Dobbins,BAL,13,25,RB,RB31,67
James White,NE,11,32,RB,RB32,72.7
Marlon Mack,IND,11,28,RB,RB33,74.6
Antonio Gibson,WAS,14,26,RB,RB34,79
Jordan Howard,MIA,10,29,RB,RB35,80
Zack Moss,BUF,13,26,RB,RB36,83.7
Phillip Lindsay,DEN,9,29,RB,RB37,83.8
Tarik Cohen,CHI,13,28,RB,RB38,84.6
Matt Breida,MIA,10,29,RB,RB39,90.5
Latavius Murray,NO,11,34,RB,RB40,94.9
Tevin Coleman,SF,9,31,RB,RB41,96.4
Alexander Mattison,MIN,13,26,RB,RB42,96.7
Kerryon Johnson,DET,9,27,RB,RB43,97.2
Chase Edmonds,ARI,14,28,RB,RB44,101.1
Damien Harris,NE,11,27,RB,RB45,101.1
Sony Michel,NE,11,29,RB,RB46,107.4
AJ Dillon,GB,6,26,RB,RB47,111.9
Darrell Henderson Jr.,LAR,10,26,RB,RB48,114.1
Adrian Peterson,DET,9,39,RB,RB49,118.4
Tony Pollard,DAL,7,27,RB,RB50,119.4
Boston Scott,PHI,10,29,RB,RB51,120.1
Bryce Love,WAS,14,27,RB,RB52,126.8
Duke Johnson,HOU,7,30,RB,RB53,131
Ke'Shawn Vaughn,TB,5,27,RB,RB54,134.4
Ryquell Armstead,JAX,9,27,RB,RB55,135.3
Justin Jackson,LAC,5,28,RB,RB56,137.6
Nyheim Hines,IND,11,27,RB,RB57,139.9
Chris Thompson,JAX,9,33,RB,RB58,149.6
Darrel Williams,KC,10,29,RB,RB60,152.3
Jerick McKinnon,SF,9,32,RB,RB59,152.3
Benny Snell Jr.,PIT,6,26,RB,RB61,152.9
Joshua Kelley,LAC,5,26,RB,RB62,154.5
LeSean McCoy,TB,5,35,RB,RB63,156
Carlos Hyde,SEA,5,33,RB,RB64,156.5
DeAndre Washington,KC,10,31,RB,RB65,161.4
Darrynton Evans,TEN,7,26,RB,RB66,187
Jalen Richard,LV,13,30,RB,RB67,189
Jamaal Williams,GB,6,29,RB,RB68,193
Devine Ozigbo,JAX,9,27,RB,RB69,195
Frank Gore,NYJ,7,41,RB,RB70,201
Giovani Bernard,CIN,7,32,RB,RB71,203
Rex Burkhead,NE,11,34,RB,RB72,208
Ito Smith,ATL,11,28,RB,RB73,220
Peyton Barber,WAS,14,30,RB,RB74,221
Anthony McFarland Jr.,PIT,6,26,RB,RB75,223
Malcolm Brown,LAR,10,31,RB,RB76,226
La'Mical Perine,NYJ,7,26,RB,RB77,233
J.D. McKissic,WAS,14,30,RB,RB78,235
James Robinson,JAX,9,25,RB,RB79,236
Kyle Juszczyk,SF,9,33,FB,RB80,238
Mike Davis,CAR,7,31,RB,RB81,240
Dion Lewis,NYG,13,33,RB,RB82,242
Ty Montgomery II,NO,11,31,RB,RB83,245
Royce Freeman,DEN,9,28,RB,RB84,247
Gus Edwards,BAL,13,29,RB,RB85,252
Eno Benjamin,ARI,14,25,RB,RB86,253
Brian Hill,ATL,11,28,RB,RB87,257
Darwin Thompson,KC,10,27,RB,RB88,260
DeeJay Dallas,SEA,5,25,RB,RB89,261
Patrick Laird,MIA,10,28,RB,RB90,263
Rashaad Penny,SEA,5,28,RB,RB91,265
Jaylen Samuels,PIT,6,27,RB,RB92,268
Reggie Bonnafon,CAR,7,28,RB,RB93,269
Jason Huntley,PHI,10,26,RB,RB94,273
Mike Boone,MIN,13,29,RB,RB95,281
Justice Hill,BAL,13,26,RB,RB96,283
Rod Smith,NYG,13,32,RB,RB97,285
Ty Johnson,DET,9,26,RB,RB98,286
Corey Clement,PHI,10,29,RB,RB99,289
Andy Janovich,CLE,5,31,FB,RB100,291
Michael Thomas,NO,11,31,WR,WR1,5.6
Davante Adams,GB,6,31,WR,WR2,10.4
Julio Jones,ATL,11,35,WR,WR3,14.4
Tyreek Hill,KC,10,30,WR,WR4,15.8
DeAndre Hopkins,ARI,14,32,WR,WR5,18.5
Chris Godwin,TB,5,28,WR,WR6,21.5
Kenny Golladay,DET,9,30,WR,WR7,25.8
Mike Evans,TB,5,30,WR,WR8,27.9
Adam Thielen,MIN,13,33,WR,WR9,30.3
Allen Robinson II,CHI,13,30,WR,WR10,31.8
DJ Moore,CAR,7,27,WR,WR11,32.6
Odell Beckham Jr.,CLE,5,31,WR,WR12,35.7
JuJu Smith-Schuster,PIT,6,27,WR,WR13,36.9
Amari Cooper,DAL,7,30,WR,WR14,38.1
Cooper Kupp,LAR,10,31,WR,WR15,40.3
Calvin Ridley,ATL,11,29,WR,WR16,40.9
Robert Woods,LAR,10,32,WR,WR17,42.4
